""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Fourati et al. (2016) Pre-vaccination inflammation and B-cell signalling predict age-related hyporesponse to hepatitis B vaccination. Nat Commun PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691' target='_blank'>26742691</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"IRF7"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"199"	"IRF7"	"hipciof_gene_26742691_199.txt"	"hipciof_gene_complete_26742691_199.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"IRF9"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"199"	"IRF9"	"hipciof_gene_26742691_199.txt"	"hipciof_gene_complete_26742691_199.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"IL15"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"199"	"IL15"	"hipciof_gene_26742691_199.txt"	"hipciof_gene_complete_26742691_199.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"OAS1"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"199"	"OAS1"	"hipciof_gene_26742691_199.txt"	"hipciof_gene_complete_26742691_199.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"NFKB1"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"199"	"NFkB"	"hipciof_gene_26742691_199.txt"	"hipciof_gene_complete_26742691_199.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"ARHGAP4"	"gene expression"	"up"	"poor responders"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"poor responders vs responders"	"time of vaccination (first dose)"	"seniors (65-83)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"1"	"199"	"C1"	"hipciof_gene_26742691_199.txt"	"hipciof_gene_complete_26742691_199.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"IGH"	"gene expression"	"up"	"responders (training set)"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"2"	"200"	"IGH"	"hipciof_gene_26742691_200.txt"	"hipciof_gene_complete_26742691_200.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"CD79A"	"gene expression"	"up"	"responders (training set)"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"2"	"200"	"CD79A"	"hipciof_gene_26742691_200.txt"	"hipciof_gene_complete_26742691_200.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"CD79B"	"gene expression"	"up"	"responders (training set)"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"2"	"200"	"CD79B"	"hipciof_gene_26742691_200.txt"	"hipciof_gene_complete_26742691_200.txt"
""	"20160707-hipciof_gene_26742691"	"2016.07.07"	"hipciof_gene_30"	"blood"	"CD19"	"gene expression"	"up"	"responders (training set)"	"0"	"Days"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"responders vs poor responders"	"time of vaccination (first dose)"	"seniors (65-81)"	"26742691"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26742691"	"2"	"200"	"CD19"	"hipciof_gene_26742691_200.txt"	"hipciof_gene_complete_26742691_200.txt"
