""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	""
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Voigt et al. (2020) Sex Differences in Older Adults' Immune Responses to Seasonal Influenza Vaccination. Front Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30873150' target='_blank'>30873150</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"20200116-hipciof_gene_30873150"	"2020.01.16"	"hipciof_gene_48"	"peripheral blood mononuclear cell"	"MOXD1"	"gene expression"	"up"	"females"	"0"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"384"	"MOXD1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20200116-hipciof_gene_30873150"	"2020.01.16"	"hipciof_gene_48"	"peripheral blood mononuclear cell"	"STAP1"	"gene expression"	"up"	"females"	"0"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"384"	"STAP1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20200116-hipciof_gene_30873150"	"2020.01.16"	"hipciof_gene_48"	"peripheral blood mononuclear cell"	"PAWR"	"gene expression"	"up"	"females"	"0"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"384"	"PAWR"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20200116-hipciof_gene_30873150"	"2020.01.16"	"hipciof_gene_48"	"peripheral blood mononuclear cell"	"PTPRK"	"gene expression"	"up"	"females"	"0"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"384"	"PTPRK"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20200116-hipciof_gene_30873150"	"2020.01.16"	"hipciof_gene_48"	"peripheral blood mononuclear cell"	"CD40"	"gene expression"	"up"	"females"	"0"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"384"	"CD40"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20200116-hipciof_gene_30873150"	"2020.01.16"	"hipciof_gene_48"	"peripheral blood mononuclear cell"	"DPF3"	"gene expression"	"up"	"females"	"0"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"384"	"DPF3"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20200116-hipciof_gene_30873150"	"2020.01.16"	"hipciof_gene_48"	"peripheral blood mononuclear cell"	"FCRL5"	"gene expression"	"up"	"females"	"0"	"days"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"384"	"FCRL5"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
