""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"comments and additional details"	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Giarola-Silva et al. (2018) Distinct patterns of cellular immune response elicited by influenza non-adjuvanted and AS03-adjuvanted monovalent H1N1(pdm09) vaccine. Antiviral Res. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28549970' target='_blank'>28549970</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response agents file"	"complete signature response agents file"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CXCL9"	"gene expression"	"up"	"none"	"1"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"1"	"488"	"CXCL9"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_488.txt"	"hipciof_gene_complete_28549970_488.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"IL15"	"gene expression"	"up"	"none"	"1"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"1"	"488"	"IL15"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_488.txt"	"hipciof_gene_complete_28549970_488.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR3"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"2"	"489"	"TLR3"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_489.txt"	"hipciof_gene_complete_28549970_489.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR7"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"2"	"489"	"TLR7"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_489.txt"	"hipciof_gene_complete_28549970_489.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CXCL8"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"2"	"489"	"CXCL8"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_489.txt"	"hipciof_gene_complete_28549970_489.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CXCL9"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"2"	"489"	"CXCL9"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_489.txt"	"hipciof_gene_complete_28549970_489.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CCL5"	"gene expression"	"up"	"none"	"3"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"2"	"489"	"CCL5"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_489.txt"	"hipciof_gene_complete_28549970_489.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR3"	"gene expression"	"up"	"none"	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"3"	"490"	"TLR3"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_490.txt"	"hipciof_gene_complete_28549970_490.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR9"	"gene expression"	"up"	"none"	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"3"	"490"	"TLR9"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_490.txt"	"hipciof_gene_complete_28549970_490.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CXCL8"	"gene expression"	"up"	"none"	"7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"3"	"490"	"CXCL8"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_490.txt"	"hipciof_gene_complete_28549970_490.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR7"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"4"	"491"	"TLR7"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_491.txt"	"hipciof_gene_complete_28549970_491.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"TLR9"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"4"	"491"	"TLR9"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_491.txt"	"hipciof_gene_complete_28549970_491.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CXCL8"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"4"	"491"	"CXCL8"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_491.txt"	"hipciof_gene_complete_28549970_491.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CXCL9"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"4"	"491"	"CXCL9"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_491.txt"	"hipciof_gene_complete_28549970_491.txt"
""	"20180329-hipciof_gene_28549970"	"2018.03.29"	"hipciof_gene_63"	"blood"	"CCL5"	"gene expression"	"up"	"none"	"30"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	""	"30d-0d"	"time of vaccination (first dose)"	"adults (21-51)"	"28549970"	"2017"	""	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"4"	"491"	"CCL5"	"VO_0000410"	"VO_0000160"	"hipciof_gene_28549970_491.txt"	"hipciof_gene_complete_28549970_491.txt"
