""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Neu et al. (2019) Spec-seq unveils transcriptional subpopulations of antibody-secreting cells following influenza vaccination. J. Clin. Invest. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30457979' target='_blank'>30457979</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20191105-hipciof_gene_30457979"	"2019.11.05"	"hipciof_gene_47"	"plasmablast"	"IGHA2"	"gene expression"	"up"	"IgAVN population"	"7"	"days"	"character(0)"	"2014qv"	"Fluarix Quadrivalent"	"VO_0000983"	""	"7d-0d"	"time of vaccination (first dose)"	"Healthy subjects"	"30457979"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/"	"1"	"394"	"IGHA2"
""	"20191105-hipciof_gene_30457979"	"2019.11.05"	"hipciof_gene_47"	"plasmablast"	"IGHA2"	"gene expression"	"up"	"IgAVN population"	"7"	"days"	"character(0)"	"2014qv"	"Fluarix Quadrivalent"	"VO_0000983"	""	"7d-0d"	"time of vaccination (first dose)"	"Healthy subjects"	"30457979"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/"	"1"	"394"	"IGHA2"
""	"20191105-hipciof_gene_30457979"	"2019.11.05"	"hipciof_gene_47"	"plasmablast"	"IGHA2"	"gene expression"	"up"	"IgAVN population"	"7"	"days"	"character(0)"	"2014qv"	"Fluarix Quadrivalent"	"VO_0000983"	""	"7d-0d"	"time of vaccination (first dose)"	"Healthy subjects"	"30457979"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/"	"1"	"394"	"IGHA2"
""	"20191105-hipciof_gene_30457979"	"2019.11.05"	"hipciof_gene_47"	"plasmablast"	"IGKC"	"gene expression"	"up"	"IgAVN population"	"7"	"days"	"character(0)"	"2014qv"	"Fluarix Quadrivalent"	"VO_0000983"	""	"7d-0d"	"time of vaccination (first dose)"	"Healthy subjects"	"30457979"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/"	"1"	"394"	"IGKC"
""	"20191105-hipciof_gene_30457979"	"2019.11.05"	"hipciof_gene_47"	"plasmablast"	"IGKC"	"gene expression"	"up"	"IgAVN population"	"7"	"days"	"character(0)"	"2014qv"	"Fluarix Quadrivalent"	"VO_0000983"	""	"7d-0d"	"time of vaccination (first dose)"	"Healthy subjects"	"30457979"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/"	"1"	"394"	"IGKC"
""	"20191105-hipciof_gene_30457979"	"2019.11.05"	"hipciof_gene_47"	"plasmablast"	"IGKC"	"gene expression"	"up"	"IgAVN population"	"7"	"days"	"character(0)"	"2014qv"	"Fluarix Quadrivalent"	"VO_0000983"	""	"7d-0d"	"time of vaccination (first dose)"	"Healthy subjects"	"30457979"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6307935/"	"1"	"394"	"IGKC"
