""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (original text)"	"exposure material"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication_url"
""	"20190305-hipciof_gene_27030598"	"2019.03.05"	"hipciof_gene_39"	"CD4-positive, alpha-beta T cell"	"TRBV5-4"	"gene expression"	"up"	"none"	"7 to 9"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"CD4-positive T cell -Naive CD4-positive T cell"	"time of vaccination (first dose)"	"seniors (52-75)"	"27030598"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"
""	"20190305-hipciof_gene_27030598"	"2019.03.05"	"hipciof_gene_39"	"CD4-positive, alpha-beta T cell"	"TRBV5-5"	"gene expression"	"up"	"none"	"7 to 9"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"CD4-positive T cell -Naive CD4-positive T cell"	"time of vaccination (first dose)"	"seniors (52-75)"	"27030598"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"
""	"20190305-hipciof_gene_27030598"	"2019.03.05"	"hipciof_gene_39"	"CD4-positive, alpha-beta T cell"	"TRBV5-8"	"gene expression"	"up"	"none"	"7 to 9"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"CD4-positive T cell -Naive CD4-positive T cell"	"time of vaccination (first dose)"	"seniors (52-75)"	"27030598"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"
""	"20190305-hipciof_gene_27030598"	"2019.03.05"	"hipciof_gene_39"	"CD4-positive, alpha-beta T cell"	"TRBV6-1"	"gene expression"	"up"	"none"	"7 to 9"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"CD4-positive T cell -Naive CD4-positive T cell"	"time of vaccination (first dose)"	"seniors (52-75)"	"27030598"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"
""	"20190305-hipciof_gene_27030598"	"2019.03.05"	"hipciof_gene_39"	"CD4-positive, alpha-beta T cell"	"TRBV7-3"	"gene expression"	"up"	"none"	"7 to 9"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"CD4-positive T cell -Naive CD4-positive T cell"	"time of vaccination (first dose)"	"seniors (52-75)"	"27030598"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"
