""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (original text)"	"exposure material"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication_url"
""	"20190305-hipciof_gene_17651872"	"2019.03.05"	"hipciof_gene_18"	"peripheral blood mononuclear cell"	"ADM"	"gene expression"	"up"	"none"	"2 to 4"	"Days"	"Vaccinia virus"	""	"APSV Wetvax"	"VO_0004808"	""	"2-4d-0d"	"time of vaccination (first dose)"	"adults (18-32)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20190305-hipciof_gene_17651872"	"2019.03.05"	"hipciof_gene_18"	"peripheral blood mononuclear cell"	"ANKRD22"	"gene expression"	"up"	"none"	"2 to 4"	"Days"	"Vaccinia virus"	""	"APSV Wetvax"	"VO_0004808"	""	"2-4d-0d"	"time of vaccination (first dose)"	"adults (18-32)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20190305-hipciof_gene_17651872"	"2019.03.05"	"hipciof_gene_18"	"peripheral blood mononuclear cell"	"ANXA3"	"gene expression"	"up"	"none"	"2 to 4"	"Days"	"Vaccinia virus"	""	"APSV Wetvax"	"VO_0004808"	""	"2-4d-0d"	"time of vaccination (first dose)"	"adults (18-32)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20190305-hipciof_gene_17651872"	"2019.03.05"	"hipciof_gene_18"	"peripheral blood mononuclear cell"	"AQP9"	"gene expression"	"up"	"none"	"2 to 4"	"Days"	"Vaccinia virus"	""	"APSV Wetvax"	"VO_0004808"	""	"2-4d-0d"	"time of vaccination (first dose)"	"adults (18-32)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20190305-hipciof_gene_17651872"	"2019.03.05"	"hipciof_gene_18"	"peripheral blood mononuclear cell"	"ATF3"	"gene expression"	"up"	"none"	"2 to 4"	"Days"	"Vaccinia virus"	""	"APSV Wetvax"	"VO_0004808"	""	"2-4d-0d"	"time of vaccination (first dose)"	"adults (18-32)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
""	"20190305-hipciof_gene_17651872"	"2019.03.05"	"hipciof_gene_18"	"peripheral blood mononuclear cell"	"BCL2A1"	"gene expression"	"up"	"none"	"2 to 4"	"Days"	"Vaccinia virus"	""	"APSV Wetvax"	"VO_0004808"	""	"2-4d-0d"	"time of vaccination (first dose)"	"adults (18-32)"	"17651872"	"2007"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17651872"
