""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"comments and additional details"	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Hoft et al. (2018) PO and ID BCG vaccination in humans induce distinct mucosal and systemic immune responses and CD4<sup>+</sup> T cell transcriptomal molecular signatures. Mucosal Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28853442' target='_blank'>28853442</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20181211-hipciof_gene_28853442"	"2018.12.11"	"hipciof_gene_62"	"CD4-positive, alpha-beta memory T cell"	"TMSB4X"	"gene expression"	"down"	"none"	"7"	"days"	"mycobacterium tuberculosis"	""	"BCG vaccine"	"VO_0000771"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"28853442"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/"	"adults"	"18"	"45"	"years"	"1"	"480"	"TMSB4X"	"hipciof_gene_28853442_480.txt"	"hipciof_gene_complete_28853442_480.txt"
""	"20181211-hipciof_gene_28853442"	"2018.12.11"	"hipciof_gene_62"	"CD4-positive, alpha-beta memory T cell"	"TMEM191A"	"gene expression"	"down"	"none"	"7"	"days"	"mycobacterium tuberculosis"	""	"BCG vaccine"	"VO_0000771"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"28853442"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/"	"adults"	"18"	"45"	"years"	"1"	"480"	"TMEM191A"	"hipciof_gene_28853442_480.txt"	"hipciof_gene_complete_28853442_480.txt"
""	"20181211-hipciof_gene_28853442"	"2018.12.11"	"hipciof_gene_62"	"CD4-positive, alpha-beta memory T cell"	"C9orf85"	"gene expression"	"down"	"none"	"7"	"days"	"mycobacterium tuberculosis"	""	"BCG vaccine"	"VO_0000771"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"28853442"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/"	"adults"	"18"	"45"	"years"	"1"	"480"	"C9orf85"	"hipciof_gene_28853442_480.txt"	"hipciof_gene_complete_28853442_480.txt"
""	"20181211-hipciof_gene_28853442"	"2018.12.11"	"hipciof_gene_62"	"CD4-positive, alpha-beta memory T cell"	"HSPE1"	"gene expression"	"down"	"none"	"7"	"days"	"mycobacterium tuberculosis"	""	"BCG vaccine"	"VO_0000771"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"28853442"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/"	"adults"	"18"	"45"	"years"	"1"	"480"	"HSPE1"	"hipciof_gene_28853442_480.txt"	"hipciof_gene_complete_28853442_480.txt"
