""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Matsumiya et al. (2014) Roles for Treg expansion and HMGB1 signaling through the TLR1-2-6 axis in determining the magnitude of the antigen-specific immune response to MVA85A. PLoS ONE PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129' target='_blank'>23844129</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20140207-hipciof_gene_23844129"	"2014.02.07"	"hipciof_gene_11"	"peripheral blood mononuclear cell"	"BST2"	"gene expression"	"up"	"none"	"2"	"Days"	"Mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"2d-0d"	"time of vaccination (first dose)"	"adult (18-55)"	"23844129"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/23844129"	"1"	"75"	"BST2"	"hipciof_gene_23844129_75.txt"	"hipciof_gene_complete_23844129_75.txt"
""	"20140207-hipciof_gene_23844129"	"2014.02.07"	"hipciof_gene_11"	"peripheral blood mononuclear cell"	"EIF2AK2"	"gene expression"	"up"	"none"	"2"	"Days"	"Mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"2d-0d"	"time of vaccination (first dose)"	"adult (18-55)"	"23844129"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/23844129"	"1"	"75"	"EIF2AK2"	"hipciof_gene_23844129_75.txt"	"hipciof_gene_complete_23844129_75.txt"
""	"20140207-hipciof_gene_23844129"	"2014.02.07"	"hipciof_gene_11"	"peripheral blood mononuclear cell"	"IFIH1"	"gene expression"	"up"	"none"	"2"	"Days"	"Mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"2d-0d"	"time of vaccination (first dose)"	"adult (18-55)"	"23844129"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/23844129"	"1"	"75"	"IFIH1"	"hipciof_gene_23844129_75.txt"	"hipciof_gene_complete_23844129_75.txt"
""	"20140207-hipciof_gene_23844129"	"2014.02.07"	"hipciof_gene_11"	"peripheral blood mononuclear cell"	"IRF9"	"gene expression"	"up"	"none"	"2"	"Days"	"Mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"2d-0d"	"time of vaccination (first dose)"	"adult (18-55)"	"23844129"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/23844129"	"1"	"75"	"IRF9"	"hipciof_gene_23844129_75.txt"	"hipciof_gene_complete_23844129_75.txt"
