""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"High-dimensional gene expression profiling studies in high and low responders to primary smallpox vaccination."	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20191106-hipciof_gene_22949304"	"2019.11.06"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"TNFRSF10D"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"Vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"142"	"TNFRSF10D"
""	"20191106-hipciof_gene_22949304"	"2019.11.06"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"IKZF1"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"Vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"142"	"IKZF1"
""	"20191106-hipciof_gene_22949304"	"2019.11.06"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"IKZF2"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"Vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"142"	"IKZF2"
""	"20191106-hipciof_gene_22949304"	"2019.11.06"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"NFE2L3"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"Vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"142"	"NFE2L3"
""	"20191106-hipciof_gene_22949304"	"2019.11.06"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"POLR2C"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"Vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"142"	"POLR2C"
""	"20191106-hipciof_gene_22949304"	"2019.11.06"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"HIST1H4E"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"Vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"142"	"HIST1H4E"
