""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Panapasa et al. (2016) The expression of B &amp; T cell activation markers in children's tonsils following live attenuated influenza vaccine. Hum Vaccin Immunother PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26148331' target='_blank'>26148331</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response agents file"	"complete signature response agents file"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"APC"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"1"	"448"	"APC"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_448.txt"	"hipciof_gene_complete_26148331_448.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"CD3G"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"1"	"448"	"CD3G"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_448.txt"	"hipciof_gene_complete_26148331_448.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"FASLG"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"1"	"448"	"FASLG"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_448.txt"	"hipciof_gene_complete_26148331_448.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"IL7"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"1"	"448"	"IL7"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_448.txt"	"hipciof_gene_complete_26148331_448.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"CD8A"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"1"	"448"	"CD8A"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_448.txt"	"hipciof_gene_complete_26148331_448.txt"
""	"20160509-hipciof_gene_26148331"	"2016.05.09"	"hipciof_gene_59"	"whole blood"	"TLR1"	"gene expression"	"down"	"none"	"3"	"days"	"2012-LAIV-Fluenz"	"Fluenz (LAIV)"	"VO_0004893"	""	"3d-0d"	"time of vaccination (first dose)"	"children (3-17)"	"26148331"	"2015"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"1"	"448"	"TLR1"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"Influenza B virus (B/Massachusetts/02/2012)"	"hipciof_gene_26148331_448.txt"	"hipciof_gene_complete_26148331_448.txt"
