""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Loxton et al. (2017) Safety and Immunogenicity of the Recombinant Mycobacterium bovis BCG Vaccine VPM1002 in HIV-Unexposed Newborn Infants in South Africa. Clin. Vaccine Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398' target='_blank'>27974398</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20170830-hipciof_gene_27974398"	"2017.08.30"	"hipciof_gene_14"	"blood"	"IL17A"	"gene expression"	"down"	"none"	"6"	"Months"	"Mycobacterium bovis BCG"	""	"VPM1002; BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003131"	""	"6m-0m"	"time of vaccination (first dose)"	"infants"	"27974398"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398"	"1"	"89"	"IL-17A"
""	"20170830-hipciof_gene_27974398"	"2017.08.30"	"hipciof_gene_14"	"blood"	"IL17A"	"gene expression"	"down"	"none"	"6"	"Months"	"Mycobacterium bovis BCG"	""	"VPM1002; BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	""	"6m-0m"	"time of vaccination (first dose)"	"infants"	"27974398"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398"	"1"	"89"	"IL-17A"
""	"20170830-hipciof_gene_27974398"	"2017.08.30"	"hipciof_gene_14"	"blood"	"IL17A"	"gene expression"	"down"	"none"	"6"	"Months"	"Mycobacterium bovis BCG"	""	"VPM1002; BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003131"	""	"6m-0m"	"time of vaccination (first dose)"	"infants"	"27974398"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398"	"2"	"90"	"IL-17A"
""	"20170830-hipciof_gene_27974398"	"2017.08.30"	"hipciof_gene_14"	"blood"	"IL17A"	"gene expression"	"down"	"none"	"6"	"Months"	"Mycobacterium bovis BCG"	""	"VPM1002; BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	""	"6m-0m"	"time of vaccination (first dose)"	"infants"	"27974398"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27974398"	"2"	"90"	"IL-17A"
