""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication_url"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20191009-hipciof_gene_27322481"	"2019.10.09"	"hipciof_gene_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"Positive"	"high and low dose"	"0"	"Days"	"Mycobacterium bovis BCG"	""	"rBCG-Ag85A/Ag85B"	"VO_0004757"	""	"Correlated with Whole blood Bactericidal Activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"1"	"167"	"IL-1B"
""	"20191009-hipciof_gene_27322481"	"2019.10.09"	"hipciof_gene_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"Positive"	"high and low dose"	"56"	"Days"	"Mycobacterium bovis BCG"	""	"rBCG-Ag85A/Ag85B"	"VO_0004757"	""	"Correlated with Whole blood Bactericidal Activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"2"	"168"	"IL-1B"
""	"20191009-hipciof_gene_27322481"	"2019.10.09"	"hipciof_gene_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"Positive"	"high and low dose"	"84"	"Days"	"Mycobacterium bovis BCG"	""	"rBCG-Ag85A/Ag85B"	"VO_0004757"	""	"Correlated with Whole blood Bactericidal Activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"3"	"169"	"IL-1B"
""	"20191009-hipciof_gene_27322481"	"2019.10.09"	"hipciof_gene_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"Positive"	"none"	"0"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG"	"VO_0000103"	""	"Correlated with Whole blood Bactericidal Activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"4"	"170"	"IL-1B"
""	"20191009-hipciof_gene_27322481"	"2019.10.09"	"hipciof_gene_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"Positive"	"none"	"56"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG"	"VO_0000103"	""	"Correlated with Whole blood Bactericidal Activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"5"	"171"	"IL-1B"
""	"20191009-hipciof_gene_27322481"	"2019.10.09"	"hipciof_gene_26"	"peripheral blood mononuclear cell"	"IL1B"	"gene expression"	"Positive"	"none"	"84"	"Days"	"Mycobacterium bovis BCG"	""	"Tice BCG"	"VO_0000103"	""	"Correlated with Whole blood Bactericidal Activity (WBA)"	"time of vaccination (first dose)"	"adults (18-40)"	"27322481"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"6"	"172"	"IL-1B"
