""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Li et al. (2017) Metabolic Phenotypes of Response to Vaccination in Humans. Cell PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771' target='_blank'>28502771</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20170711-hipciof_gene_28502771"	"2017.07.11"	"hipciof_gene_8"	"peripheral blood mononuclear cell"	"MX1"	"gene expression"	"up"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (25-40/60-79)"	"28502771"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771"	"1"	"66"	"MX1"	"hipciof_gene_28502771_66.txt"	"hipciof_gene_complete_28502771_66.txt"
""	"20170711-hipciof_gene_28502771"	"2017.07.11"	"hipciof_gene_8"	"peripheral blood mononuclear cell"	"IFI44L"	"gene expression"	"up"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (25-40/60-79)"	"28502771"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771"	"1"	"66"	"IFI44L"	"hipciof_gene_28502771_66.txt"	"hipciof_gene_complete_28502771_66.txt"
""	"20170711-hipciof_gene_28502771"	"2017.07.11"	"hipciof_gene_8"	"peripheral blood mononuclear cell"	"PSPH"	"gene expression"	"up"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (25-40/60-79)"	"28502771"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771"	"1"	"66"	"PSPH"	"hipciof_gene_28502771_66.txt"	"hipciof_gene_complete_28502771_66.txt"
""	"20170711-hipciof_gene_28502771"	"2017.07.11"	"hipciof_gene_8"	"peripheral blood mononuclear cell"	"MYO6"	"gene expression"	"up"	"none"	"1"	"Days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (25-40/60-79)"	"28502771"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28502771"	"1"	"66"	"MYO6"	"hipciof_gene_28502771_66.txt"	"hipciof_gene_complete_28502771_66.txt"
