""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication_url"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20191009-hipciof_gene_29920562"	"2019.10.09"	"hipciof_gene_44"	"whole blood"	"SNORD89"	"gene expression"	"down"	""	"5"	"days"	"Plasmodium falciparum"	""	"P. falciparum sporozoites (Sanaria PfSPZ Challenge)"	"VO_0000900"	""	"5d-0d"	"Time of controlled human malaria infection (CHMI)"	"Males (20-35)"	"29920562"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29920562"	"1"	"367"	"SNORD89"
""	"20191009-hipciof_gene_29920562"	"2019.10.09"	"hipciof_gene_44"	"whole blood"	"MPP3"	"gene expression"	"down"	""	"5"	"days"	"Plasmodium falciparum"	""	"P. falciparum sporozoites (Sanaria PfSPZ Challenge)"	"VO_0000900"	""	"5d-0d"	"Time of controlled human malaria infection (CHMI)"	"Males (20-35)"	"29920562"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29920562"	"1"	"367"	"MPP3"
""	"20191009-hipciof_gene_29920562"	"2019.10.09"	"hipciof_gene_44"	"whole blood"	"PPIAL4D"	"gene expression"	"down"	""	"5"	"days"	"Plasmodium falciparum"	""	"P. falciparum sporozoites (Sanaria PfSPZ Challenge)"	"VO_0000900"	""	"5d-0d"	"Time of controlled human malaria infection (CHMI)"	"Males (20-35)"	"29920562"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29920562"	"1"	"367"	"PPIAL4D"
""	"20191009-hipciof_gene_29920562"	"2019.10.09"	"hipciof_gene_44"	"whole blood"	"PLS3"	"gene expression"	"down"	""	"5"	"days"	"Plasmodium falciparum"	""	"P. falciparum sporozoites (Sanaria PfSPZ Challenge)"	"VO_0000900"	""	"5d-0d"	"Time of controlled human malaria infection (CHMI)"	"Males (20-35)"	"29920562"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29920562"	"1"	"367"	"PLS3"
""	"20191009-hipciof_gene_29920562"	"2019.10.09"	"hipciof_gene_44"	"whole blood"	"FAM151B"	"gene expression"	"down"	""	"5"	"days"	"Plasmodium falciparum"	""	"P. falciparum sporozoites (Sanaria PfSPZ Challenge)"	"VO_0000900"	""	"5d-0d"	"Time of controlled human malaria infection (CHMI)"	"Males (20-35)"	"29920562"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29920562"	"1"	"367"	"FAM151B"
""	"20191009-hipciof_gene_29920562"	"2019.10.09"	"hipciof_gene_44"	"whole blood"	"RBM44"	"gene expression"	"down"	""	"5"	"days"	"Plasmodium falciparum"	""	"P. falciparum sporozoites (Sanaria PfSPZ Challenge)"	"VO_0000900"	""	"5d-0d"	"Time of controlled human malaria infection (CHMI)"	"Males (20-35)"	"29920562"	"2018"	"https://www.ncbi.nlm.nih.gov/pubmed/29920562"	"1"	"367"	"RBM44"
