""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (original text)"	"exposure material"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication_url"
""	"20190305-hipciof_gene_20078211"	"2019.03.05"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSME2"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	"VO_0003093"	""	"vaccinated-control "	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"
""	"20190305-hipciof_gene_20078211"	"2019.03.05"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMA4"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	"VO_0003093"	""	"vaccinated-control "	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"
""	"20190305-hipciof_gene_20078211"	"2019.03.05"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMB6"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	"VO_0003093"	""	"vaccinated-control "	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"
""	"20190305-hipciof_gene_20078211"	"2019.03.05"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMB9"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	"VO_0003093"	""	"vaccinated-control "	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"
""	"20190305-hipciof_gene_20078211"	"2019.03.05"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSME2"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	"VO_0000774"	""	"vaccinated-control "	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"
""	"20190305-hipciof_gene_20078211"	"2019.03.05"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMA4"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	"VO_0000774"	""	"vaccinated-control "	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"
""	"20190305-hipciof_gene_20078211"	"2019.03.05"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMB6"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	"VO_0000774"	""	"vaccinated-control "	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"
""	"20190305-hipciof_gene_20078211"	"2019.03.05"	"hipciof_gene_9"	"peripheral blood mononuclear cell"	"PSMB9"	"gene expression"	"up"	"none"	"2"	"Weeks"	"Plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	"VO_0000774"	""	"vaccinated-control "	"time of vaccination (third dose)"	"unknown"	"20078211"	"2010"	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"
