""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Furman et al. (2013) Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. Mol. Syst. Biol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775' target='_blank'>23591775</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20130913-hipciof_gene_23591775"	"2013.09.13"	"hipciof_gene_41"	"peripheral blood mononuclear cell"	"TRBV5-4"	"gene expression"	"negative"	"none"	"28"	"Days"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"358"	"TRBV5-4"
""	"20130913-hipciof_gene_23591775"	"2013.09.13"	"hipciof_gene_41"	"peripheral blood mononuclear cell"	"TRBV5-4"	"gene expression"	"negative"	"none"	"28"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"358"	"TRBV5-4"
""	"20130913-hipciof_gene_23591775"	"2013.09.13"	"hipciof_gene_41"	"peripheral blood mononuclear cell"	"TRBV5-4"	"gene expression"	"negative"	"none"	"28"	"Days"	"Influenza B virus (B/Florida/4/2006)"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"358"	"TRBV5-4"
""	"20130913-hipciof_gene_23591775"	"2013.09.13"	"hipciof_gene_41"	"peripheral blood mononuclear cell"	"TRBV5-5"	"gene expression"	"negative"	"none"	"28"	"Days"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"358"	"TRBV5-5"
""	"20130913-hipciof_gene_23591775"	"2013.09.13"	"hipciof_gene_41"	"peripheral blood mononuclear cell"	"TRBV5-5"	"gene expression"	"negative"	"none"	"28"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2008"	"Fluzone"	"VO_0000047"	""	"correlated with age"	"time of vaccination (first dose)"	"adults (20 - > 89)"	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"1"	"358"	"TRBV5-5"
