""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"comments and additional details"	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response agents file"	"complete signature response agents file"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"FCRL5"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menomune A/C/Y/W-135"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 3"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"1"	"14"	"FCRL5"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_14.txt"	"hipciof_gene_complete_24336226_14.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"FCRL5"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"FCRL5"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"IGH"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"IGD1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"IGHD"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"IGHD"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"IGHE"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"IGHE"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"IGHG1"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"IGHG1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"IGHG3"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"IGHG3"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"JCHAIN"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"IGJ"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"IGLL1"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"IGLL1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"IGLV2-14"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"IGLV2-14"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"TNFRSF13B"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"TNFRSF13B"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"TNFRSF17"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"TNFRSF17"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"HSP90B1"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"HSP90B1"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"PDIA6"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"PDIA6"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
""	"20140401-hipciof_gene_24336226"	"2014.04.01"	"hipciof_gene_2"	"peripheral blood mononuclear cell"	"TXNDC5"	"gene expression"	"up"	"none"	"7"	"Days"	"neisseria meningitidis"	""	"Menactra"	""	"3d-0d"	"time of vaccination (first dose)"	"adults (18-45)"	"24336226"	"2014"	"Fig 4"	""	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"adults"	"18"	"45"	"years"	"2"	"15"	"TXNDC5"	"VO_0010727"	"VO_0000071"	"hipciof_gene_24336226_15.txt"	"hipciof_gene_complete_24336226_15.txt"
