""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Haralambieva et al. (2013) High-dimensional gene expression profiling studies in high and low responders to primary smallpox vaccination. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304' target='_blank'>22949304</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"TNFRSF10D"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"TNFRSF10D"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"IKZF1"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"IKZF1"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"IKZF2"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"IKZF2"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"NFE2L3"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"NFE2L3"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"POLR2C"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"POLR2C"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"HIST1H4E"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"HIST1H4E"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"FAM71B"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"FAM71B"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"RSRC1"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"RSRC1"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"HERC5"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"HERC5"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
""	"20130102-hipciof_gene_22949304"	"2013.01.02"	"hipciof_gene_21"	"peripheral blood mononuclear cell"	"IFNA1"	"gene expression"	"up"	"none"	"9 to 34"	"Months"	"vaccinia virus"	""	"Dryvax"	"VO_0000035"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (18-40)"	"22949304"	"2012"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=22949304"	"1"	"138"	"IFNA1"	"hipciof_gene_22949304_138.txt"	"hipciof_gene_complete_22949304_138.txt"
