""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Matsumiya et al. (2015) Inflammatory and myeloid-associated gene expression before and one day after infant vaccination with MVA85A correlates with induction of a T cell response. BMC Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498' target='_blank'>24912498</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20150623-hipciof_gene_24912498"	"2015.06.23"	"hipciof_gene_28"	"blood"	"CXCL10"	"gene expression"	"up"	"BCG-primed"	"1"	"Days"	"Mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"vaccinated vs candin placebo"	"time of vaccination (first dose)"	"infants (4-6m)"	"24912498"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"1"	"184"	"CXCL10"	"hipciof_gene_24912498_184.txt"	"hipciof_gene_complete_24912498_184.txt"
""	"20150623-hipciof_gene_24912498"	"2015.06.23"	"hipciof_gene_28"	"blood"	"ANKRD22"	"gene expression"	"up"	"BCG-primed"	"1"	"Days"	"Mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"vaccinated vs candin placebo"	"time of vaccination (first dose)"	"infants (4-6m)"	"24912498"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"1"	"184"	"ANKRD22"	"hipciof_gene_24912498_184.txt"	"hipciof_gene_complete_24912498_184.txt"
""	"20150623-hipciof_gene_24912498"	"2015.06.23"	"hipciof_gene_28"	"blood"	"IDO1"	"gene expression"	"up"	"BCG-primed"	"1"	"Days"	"Mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"vaccinated vs candin placebo"	"time of vaccination (first dose)"	"infants (4-6m)"	"24912498"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"1"	"184"	"INDO"	"hipciof_gene_24912498_184.txt"	"hipciof_gene_complete_24912498_184.txt"
""	"20150623-hipciof_gene_24912498"	"2015.06.23"	"hipciof_gene_28"	"blood"	"GBP5"	"gene expression"	"up"	"BCG-primed"	"1"	"Days"	"Mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"vaccinated vs candin placebo"	"time of vaccination (first dose)"	"infants (4-6m)"	"24912498"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"1"	"184"	"GBP5"	"hipciof_gene_24912498_184.txt"	"hipciof_gene_complete_24912498_184.txt"
