""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Patel et al. (2019) Impact of Zostavax Vaccination on T-Cell Accumulation and Cutaneous Gene Expression in the Skin of Older Humans After Varicella Zoster Virus Antigen-Specific Challenge. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30247603' target='_blank'>30247603</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20190912-hipciof_gene_30247603"	"2019.09.12"	"hipciof_gene_53"	"skin of body"	"CXCL10"	"gene expression"	"up"	"none"	"3"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vaccine vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"1"	"399"	"CXCL10"	"hipciof_gene_30247603_399.txt"	"hipciof_gene_complete_30247603_399.txt"
""	"20190912-hipciof_gene_30247603"	"2019.09.12"	"hipciof_gene_53"	"skin of body"	"CXCL9"	"gene expression"	"up"	"none"	"3"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vaccine vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"1"	"399"	"CXCL9"	"hipciof_gene_30247603_399.txt"	"hipciof_gene_complete_30247603_399.txt"
""	"20190912-hipciof_gene_30247603"	"2019.09.12"	"hipciof_gene_53"	"skin of body"	"SELL"	"gene expression"	"up"	"none"	"3"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vaccine vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"1"	"399"	"SELL"	"hipciof_gene_30247603_399.txt"	"hipciof_gene_complete_30247603_399.txt"
""	"20190912-hipciof_gene_30247603"	"2019.09.12"	"hipciof_gene_53"	"skin of body"	"CCL5"	"gene expression"	"up"	"none"	"3"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vaccine vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"1"	"399"	"CCL5"	"hipciof_gene_30247603_399.txt"	"hipciof_gene_complete_30247603_399.txt"
