""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"comments and additional details"	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Fletcher et al. (2009) Transcriptional profiling of mycobacterial antigen-induced responses in infants vaccinated with BCG at birth. BMC Med Genomics PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680' target='_blank'>19239680</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20091214-hipciof_gene_19239680"	"2009.12.14"	"hipciof_gene_20"	"peripheral blood mononuclear cell"	"IL6"	"gene expression"	"up"	"none"	"68 to 70"	"Days"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"infants (10w)"	"19239680"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"1"	"134"	"IL6"	"hipciof_gene_19239680_134.txt"	"hipciof_gene_complete_19239680_134.txt"
""	"20091214-hipciof_gene_19239680"	"2009.12.14"	"hipciof_gene_20"	"peripheral blood mononuclear cell"	"CSF2"	"gene expression"	"up"	"none"	"68 to 70"	"Days"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"infants (10w)"	"19239680"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"1"	"134"	"CSF2"	"hipciof_gene_19239680_134.txt"	"hipciof_gene_complete_19239680_134.txt"
""	"20091214-hipciof_gene_19239680"	"2009.12.14"	"hipciof_gene_20"	"peripheral blood mononuclear cell"	"IL36G"	"gene expression"	"up"	"none"	"68 to 70"	"Days"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"infants (10w)"	"19239680"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"1"	"134"	"IL1F9"	"hipciof_gene_19239680_134.txt"	"hipciof_gene_complete_19239680_134.txt"
""	"20091214-hipciof_gene_19239680"	"2009.12.14"	"hipciof_gene_20"	"peripheral blood mononuclear cell"	"CCL20"	"gene expression"	"up"	"none"	"68 to 70"	"Days"	"mycobacterium bovis BCG"	""	"BCG (Danish strain BCG Statens Serum Institut, Denmark)"	"VO_0003129"	""	"stimulated vs unstimulated"	"time of vaccination (first dose)"	"infants (10w)"	"19239680"	"2009"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19239680"	"infants"	"10"	"10"	"weeks"	"1"	"134"	"CCL20"	"hipciof_gene_19239680_134.txt"	"hipciof_gene_complete_19239680_134.txt"
