""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"A cell-based systems biology assessment of human blood to monitor immune responses after influenza vaccination."	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20191106-hipciof_gene_25706537"	"2019.11.06"	"hipciof_gene_38"	"peripheral blood mononuclear cell"	"SPHAR"	"gene expression"	"up"	"none"	"1"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"1"	"279"	"SPHAR"
""	"20191106-hipciof_gene_25706537"	"2019.11.06"	"hipciof_gene_38"	"peripheral blood mononuclear cell"	"SPHAR"	"gene expression"	"up"	"none"	"1"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"1"	"279"	"SPHAR"
""	"20191106-hipciof_gene_25706537"	"2019.11.06"	"hipciof_gene_38"	"peripheral blood mononuclear cell"	"SPHAR"	"gene expression"	"up"	"none"	"1"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"1"	"279"	"SPHAR"
""	"20191106-hipciof_gene_25706537"	"2019.11.06"	"hipciof_gene_38"	"peripheral blood mononuclear cell"	"IGKV1-9"	"gene expression"	"up"	"none"	"1"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"1"	"279"	"IGKV1-9"
""	"20191106-hipciof_gene_25706537"	"2019.11.06"	"hipciof_gene_38"	"peripheral blood mononuclear cell"	"IGKV1-9"	"gene expression"	"up"	"none"	"1"	"Days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"1"	"279"	"IGKV1-9"
""	"20191106-hipciof_gene_25706537"	"2019.11.06"	"hipciof_gene_38"	"peripheral blood mononuclear cell"	"IGKV1-9"	"gene expression"	"up"	"none"	"1"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2011"	"Inactivated influenza vaccine"	"VO_0001176"	""	"1d-0d"	"time of vaccination (first dose)"	"adults"	"25706537"	"2015"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"1"	"279"	"IGKV1-9"
