""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (original text)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Cytokine and gene transcription profiles of immune responses elicited by HIV lipopeptide vaccine in HIV-negative volunteers."	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"
""	"20191106-hipciof_gene_23759749"	"2019.11.06"	"hipciof_gene_27"	"peripheral blood mononuclear cell"	"MT1A"	"gene expression"	"up"	"none"	"0"	"Days"	"Human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"1"	"181"	"MT1A"
""	"20191106-hipciof_gene_23759749"	"2019.11.06"	"hipciof_gene_27"	"peripheral blood mononuclear cell"	"MT1E"	"gene expression"	"up"	"none"	"0"	"Days"	"Human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"1"	"181"	"MT1E"
""	"20191106-hipciof_gene_23759749"	"2019.11.06"	"hipciof_gene_27"	"peripheral blood mononuclear cell"	"MT1F"	"gene expression"	"up"	"none"	"0"	"Days"	"Human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"1"	"181"	"MT1F"
""	"20191106-hipciof_gene_23759749"	"2019.11.06"	"hipciof_gene_27"	"peripheral blood mononuclear cell"	"MT1G"	"gene expression"	"up"	"none"	"0"	"Days"	"Human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"1"	"181"	"MT1G"
""	"20191106-hipciof_gene_23759749"	"2019.11.06"	"hipciof_gene_27"	"peripheral blood mononuclear cell"	"MT1H"	"gene expression"	"up"	"none"	"0"	"Days"	"Human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"1"	"181"	"MT1H"
""	"20191106-hipciof_gene_23759749"	"2019.11.06"	"hipciof_gene_27"	"peripheral blood mononuclear cell"	"MT1M"	"gene expression"	"up"	"none"	"0"	"Days"	"Human immunodeficiency virus 1"	""	"HIV-LIPO-5"	"VO_0003148"	""	"Stimulated vs unstimulated"	"time of vaccination (first dose)"	"adults (37-48)"	"23759749"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23759749"	"1"	"181"	"MT1M"
