""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Qiu et al. (2018) Significant transcriptome and cytokine changes in hepatitis B vaccine non-responders revealed by genome-wide comparative analysis. Hum Vaccin Immunother PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29580160' target='_blank'>29580160</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_29580160_14"	"2018.07"	"hipc_gene_29580160_14"	"peripheral blood mononuclear cell"	"BPI"	"gene expression"	"up"	"none"	"28"	"days"	"time of vaccination (first dose)"	"non-responders vs responders"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"adults (<50)"	"29580160"	"2018"	"Fig 3C"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/figure/f0003/' target='_blank'>figure/f0003</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"14"	"433"	"BPI"	"9"	"hipc_gene_sig_29580160_14.txt"	"hipc_gene_sig_complete_29580160_14.txt"
""	"hipc_gene_29580160_14"	"2018.07"	"hipc_gene_29580160_14"	"peripheral blood mononuclear cell"	"CEACAM8"	"gene expression"	"up"	"none"	"28"	"days"	"time of vaccination (first dose)"	"non-responders vs responders"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"adults (<50)"	"29580160"	"2018"	"Fig 3C"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/figure/f0003/' target='_blank'>figure/f0003</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"14"	"433"	"CEACAM8"	"9"	"hipc_gene_sig_29580160_14.txt"	"hipc_gene_sig_complete_29580160_14.txt"
""	"hipc_gene_29580160_14"	"2018.07"	"hipc_gene_29580160_14"	"peripheral blood mononuclear cell"	"DEFA1B"	"gene expression"	"up"	"none"	"28"	"days"	"time of vaccination (first dose)"	"non-responders vs responders"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"adults (<50)"	"29580160"	"2018"	"Fig 3C"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/figure/f0003/' target='_blank'>figure/f0003</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"14"	"433"	"DEFA1B"	"9"	"hipc_gene_sig_29580160_14.txt"	"hipc_gene_sig_complete_29580160_14.txt"
""	"hipc_gene_29580160_14"	"2018.07"	"hipc_gene_29580160_14"	"peripheral blood mononuclear cell"	"DEFA4"	"gene expression"	"up"	"none"	"28"	"days"	"time of vaccination (first dose)"	"non-responders vs responders"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"adults (<50)"	"29580160"	"2018"	"Fig 3C"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/figure/f0003/' target='_blank'>figure/f0003</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"14"	"433"	"DEFA4"	"9"	"hipc_gene_sig_29580160_14.txt"	"hipc_gene_sig_complete_29580160_14.txt"
""	"hipc_gene_29580160_14"	"2018.07"	"hipc_gene_29580160_14"	"peripheral blood mononuclear cell"	"FOLR3"	"gene expression"	"up"	"none"	"28"	"days"	"time of vaccination (first dose)"	"non-responders vs responders"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"adults (<50)"	"29580160"	"2018"	"Fig 3C"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/figure/f0003/' target='_blank'>figure/f0003</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"14"	"433"	"FOLR3"	"9"	"hipc_gene_sig_29580160_14.txt"	"hipc_gene_sig_complete_29580160_14.txt"
""	"hipc_gene_29580160_14"	"2018.07"	"hipc_gene_29580160_14"	"peripheral blood mononuclear cell"	"LTF"	"gene expression"	"up"	"none"	"28"	"days"	"time of vaccination (first dose)"	"non-responders vs responders"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"adults (<50)"	"29580160"	"2018"	"Fig 3C"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/figure/f0003/' target='_blank'>figure/f0003</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"14"	"433"	"LTF"	"9"	"hipc_gene_sig_29580160_14.txt"	"hipc_gene_sig_complete_29580160_14.txt"
""	"hipc_gene_29580160_14"	"2018.07"	"hipc_gene_29580160_14"	"peripheral blood mononuclear cell"	"MMP8"	"gene expression"	"up"	"none"	"28"	"days"	"time of vaccination (first dose)"	"non-responders vs responders"	"hepatitis B virus"	""	"Heptatitis B surface antigen vaccine (HBsAg)"	"VO_0003150"	""	"adults (<50)"	"29580160"	"2018"	"Fig 3C"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/figure/f0003/' target='_blank'>figure/f0003</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"adults"	""	"50"	"years"	"14"	"433"	"MMP8"	"9"	"hipc_gene_sig_29580160_14.txt"	"hipc_gene_sig_complete_29580160_14.txt"
