""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"van den Biggelaar et al. (2011) Pneumococcal conjugate vaccination at birth in a high-risk setting: no evidence for neonatal T-cell tolerance. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573' target='_blank'>21645573</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_21645573_4"	"2011.07"	"hipc_gene_21645573_4"	"peripheral blood mononuclear cell"	"CD14"	"gene expression"	"down"	"none"	"8"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"infants (9m)"	"21645573"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"4"	"163"	"CD14"	"hipc_gene_sig_21645573_4.txt"	"hipc_gene_sig_complete_21645573_4.txt"
""	"hipc_gene_21645573_4"	"2011.07"	"hipc_gene_21645573_4"	"peripheral blood mononuclear cell"	"CD163"	"gene expression"	"down"	"none"	"8"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"infants (9m)"	"21645573"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"4"	"163"	"CD163"	"hipc_gene_sig_21645573_4.txt"	"hipc_gene_sig_complete_21645573_4.txt"
""	"hipc_gene_21645573_4"	"2011.07"	"hipc_gene_21645573_4"	"peripheral blood mononuclear cell"	"FABP4"	"gene expression"	"down"	"none"	"8"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"infants (9m)"	"21645573"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"4"	"163"	"FABP4"	"hipc_gene_sig_21645573_4.txt"	"hipc_gene_sig_complete_21645573_4.txt"
""	"hipc_gene_21645573_4"	"2011.07"	"hipc_gene_21645573_4"	"peripheral blood mononuclear cell"	"MS4A4A"	"gene expression"	"down"	"none"	"8"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"infants (9m)"	"21645573"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"4"	"163"	"MS4A4A"	"hipc_gene_sig_21645573_4.txt"	"hipc_gene_sig_complete_21645573_4.txt"
""	"hipc_gene_21645573_4"	"2011.07"	"hipc_gene_21645573_4"	"peripheral blood mononuclear cell"	"MERTK"	"gene expression"	"down"	"none"	"8"	"Months"	"time of vaccination (first dose)"	"stimulated vs unstimulated"	"streptococcus pneumoniae"	""	"Prevnar (USA)"	"VO_0000090"	""	"infants (9m)"	"21645573"	"2011"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21645573"	"infants"	"9"	"9"	"months"	"4"	"163"	"MERTK"	"hipc_gene_sig_21645573_4.txt"	"hipc_gene_sig_complete_21645573_4.txt"
