""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"signature source figure, table or text section "	"signature source url"	"comments and additional details"	"gene signature is a model"	"Vahey et al. (2010) Expression of genes associated with immunoproteasome processing of major histocompatibility complex peptides is indicative of protection with adjuvanted RTS,S malaria vaccine. J Infect Dis PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=20078211' target='_blank'>20078211</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response component (genes) file"	" signature response components including non-HGNC genes"
""	"hipc_gene_20078211_1"	"2010.02"	"hipc_gene_20078211_1"	"peripheral blood mononuclear cell"	"PSME2"	"gene expression"	"up"	"none"	"2"	"Weeks"	"time of vaccination (third dose)"	"vaccinated vs control"	"plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"unknown"	"20078211"	"2010"	"Fig 6A"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	""	""	""	""	"1"	"72"	"PSME2"	"4"	"VO_0003093"	"VO_0000774"	"hipc_gene_sig_20078211_1.txt"	"hipc_gene_sig_complete_20078211_1.txt"
""	"hipc_gene_20078211_1"	"2010.02"	"hipc_gene_20078211_1"	"peripheral blood mononuclear cell"	"PSMA4"	"gene expression"	"up"	"none"	"2"	"Weeks"	"time of vaccination (third dose)"	"vaccinated vs control"	"plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"unknown"	"20078211"	"2010"	"Fig 6A"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	""	""	""	""	"1"	"72"	"PSMA4"	"4"	"VO_0003093"	"VO_0000774"	"hipc_gene_sig_20078211_1.txt"	"hipc_gene_sig_complete_20078211_1.txt"
""	"hipc_gene_20078211_1"	"2010.02"	"hipc_gene_20078211_1"	"peripheral blood mononuclear cell"	"PSMB6"	"gene expression"	"up"	"none"	"2"	"Weeks"	"time of vaccination (third dose)"	"vaccinated vs control"	"plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"unknown"	"20078211"	"2010"	"Fig 6A"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	""	""	""	""	"1"	"72"	"PSMB6"	"4"	"VO_0003093"	"VO_0000774"	"hipc_gene_sig_20078211_1.txt"	"hipc_gene_sig_complete_20078211_1.txt"
""	"hipc_gene_20078211_1"	"2010.02"	"hipc_gene_20078211_1"	"peripheral blood mononuclear cell"	"PSMB9"	"gene expression"	"up"	"none"	"2"	"Weeks"	"time of vaccination (third dose)"	"vaccinated vs control"	"plasmodium falciparum"	""	"P. falciparum RTS,S/AS01; P. falciparum RTS,S/AS02"	""	"unknown"	"20078211"	"2010"	"Fig 6A"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/20078211"	""	""	""	""	"1"	"72"	"PSMB9"	"4"	"VO_0003093"	"VO_0000774"	"hipc_gene_sig_20078211_1.txt"	"hipc_gene_sig_complete_20078211_1.txt"
