""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"signature source figure, table or text section "	"signature source url"	"comments and additional details"	"gene signature is a model"	"Fuller et al. (2007) Transcriptome analysis of human immune responses following live vaccine strain (LVS) Francisella tularensis vaccination. Mol Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694' target='_blank'>17349694</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component (genes) file"	" signature response components including non-HGNC genes"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"CREG1"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"CREG1"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"LAMP2"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"LAMP2"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"FCGR2A"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"FCGR2A"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"CD302"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"CD302"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"GLIPR1"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"GLIPR1"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"CSF2RB"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"CSF2RB"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"QPCT"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"QPCT"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"RNASE2"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"RNASE2"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
""	"hipc_gene_17349694_3"	"2007.05"	"hipc_gene_17349694_3"	"peripheral blood mononuclear cell"	"IL18"	"gene expression"	"up"	"none"	"18-48"	"hours"	"time of vaccination (first dose)"	"(18-48)h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1986836/table/T5/' target='_blank'>table/T5</a>"	"Pattern 6, \"up early\""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"3"	"131"	"IL18"	"19"	"hipc_gene_sig_17349694_3.txt"	"hipc_gene_sig_complete_17349694_3.txt"
