""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"signature source figure, table or text section "	"signature source url"	"comments and additional details"	"gene signature is a model"	"García-Piñeres et al. (2009) Gene expression patterns induced by HPV-16 L1 virus-like particles in leukocytes from vaccine recipients. J Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521' target='_blank'>19155521</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component (genes) file"	" signature response components including non-HGNC genes"
""	"hipc_gene_19155521_4"	"2009.02"	"hipc_gene_19155521_4"	"peripheral blood mononuclear cell"	"IMPA2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"time of vaccination (first dose)"	"correlated with antibody response"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"young adults (18-25)"	"19155521"	"2009"	"Suppl Table III"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701477/bin/NIHMS83712-supplement-Supplemetary_t.doc' target='_blank'>Supplemetary_t.doc</a>"	"Spearman Correlation of Gene Expression with Neutralizing Antibody Levels"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"159"	"IMPA2"	"13"	"hipc_gene_sig_19155521_4.txt"	"hipc_gene_sig_complete_19155521_4.txt"
""	"hipc_gene_19155521_4"	"2009.02"	"hipc_gene_19155521_4"	"peripheral blood mononuclear cell"	"RBMS2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"time of vaccination (first dose)"	"correlated with antibody response"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"young adults (18-25)"	"19155521"	"2009"	"Suppl Table III"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701477/bin/NIHMS83712-supplement-Supplemetary_t.doc' target='_blank'>Supplemetary_t.doc</a>"	"Spearman Correlation of Gene Expression with Neutralizing Antibody Levels"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"159"	"RBMS2"	"13"	"hipc_gene_sig_19155521_4.txt"	"hipc_gene_sig_complete_19155521_4.txt"
""	"hipc_gene_19155521_4"	"2009.02"	"hipc_gene_19155521_4"	"peripheral blood mononuclear cell"	"FUCA1"	"gene expression"	"negatively"	"none"	"7"	"Months"	"time of vaccination (first dose)"	"correlated with antibody response"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"young adults (18-25)"	"19155521"	"2009"	"Suppl Table III"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701477/bin/NIHMS83712-supplement-Supplemetary_t.doc' target='_blank'>Supplemetary_t.doc</a>"	"Spearman Correlation of Gene Expression with Neutralizing Antibody Levels"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"159"	"FUCA1"	"13"	"hipc_gene_sig_19155521_4.txt"	"hipc_gene_sig_complete_19155521_4.txt"
""	"hipc_gene_19155521_4"	"2009.02"	"hipc_gene_19155521_4"	"peripheral blood mononuclear cell"	"ADD3"	"gene expression"	"negatively"	"none"	"7"	"Months"	"time of vaccination (first dose)"	"correlated with antibody response"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"young adults (18-25)"	"19155521"	"2009"	"Suppl Table III"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701477/bin/NIHMS83712-supplement-Supplemetary_t.doc' target='_blank'>Supplemetary_t.doc</a>"	"Spearman Correlation of Gene Expression with Neutralizing Antibody Levels"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"159"	"ADD3"	"13"	"hipc_gene_sig_19155521_4.txt"	"hipc_gene_sig_complete_19155521_4.txt"
""	"hipc_gene_19155521_4"	"2009.02"	"hipc_gene_19155521_4"	"peripheral blood mononuclear cell"	"CXCL2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"time of vaccination (first dose)"	"correlated with antibody response"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"young adults (18-25)"	"19155521"	"2009"	"Suppl Table III"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701477/bin/NIHMS83712-supplement-Supplemetary_t.doc' target='_blank'>Supplemetary_t.doc</a>"	"Spearman Correlation of Gene Expression with Neutralizing Antibody Levels"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"159"	"CXCL2"	"13"	"hipc_gene_sig_19155521_4.txt"	"hipc_gene_sig_complete_19155521_4.txt"
""	"hipc_gene_19155521_4"	"2009.02"	"hipc_gene_19155521_4"	"peripheral blood mononuclear cell"	"HS3ST2"	"gene expression"	"negatively"	"none"	"7"	"Months"	"time of vaccination (first dose)"	"correlated with antibody response"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"young adults (18-25)"	"19155521"	"2009"	"Suppl Table III"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701477/bin/NIHMS83712-supplement-Supplemetary_t.doc' target='_blank'>Supplemetary_t.doc</a>"	"Spearman Correlation of Gene Expression with Neutralizing Antibody Levels"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"159"	"HS3ST2"	"13"	"hipc_gene_sig_19155521_4.txt"	"hipc_gene_sig_complete_19155521_4.txt"
""	"hipc_gene_19155521_4"	"2009.02"	"hipc_gene_19155521_4"	"peripheral blood mononuclear cell"	"SLC43A1"	"gene expression"	"negatively"	"none"	"7"	"Months"	"time of vaccination (first dose)"	"correlated with antibody response"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"young adults (18-25)"	"19155521"	"2009"	"Suppl Table III"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701477/bin/NIHMS83712-supplement-Supplemetary_t.doc' target='_blank'>Supplemetary_t.doc</a>"	"Spearman Correlation of Gene Expression with Neutralizing Antibody Levels"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"159"	"SLC43A1"	"13"	"hipc_gene_sig_19155521_4.txt"	"hipc_gene_sig_complete_19155521_4.txt"
""	"hipc_gene_19155521_4"	"2009.02"	"hipc_gene_19155521_4"	"peripheral blood mononuclear cell"	"LEF1"	"gene expression"	"negatively"	"none"	"7"	"Months"	"time of vaccination (first dose)"	"correlated with antibody response"	"human Papillomavirus"	""	"HPV-16 L1 VLP"	"VO_0003156"	""	"young adults (18-25)"	"19155521"	"2009"	"Suppl Table III"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701477/bin/NIHMS83712-supplement-Supplemetary_t.doc' target='_blank'>Supplemetary_t.doc</a>"	"Spearman Correlation of Gene Expression with Neutralizing Antibody Levels"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=19155521"	"adults"	"18"	"25"	"years"	"4"	"159"	"LEF1"	"13"	"hipc_gene_sig_19155521_4.txt"	"hipc_gene_sig_complete_19155521_4.txt"
