""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Nakaya et al. (2016) Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood. Proc Natl Acad Sci U S A PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593' target='_blank'>26755593</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"CD58"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"CD58"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"C1QC"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"C1QC"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"LY96"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"LY96"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"C1QA"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"C1QA"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"CD86"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"CD86"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"C1QB"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"C1QB"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"TYROBP"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"TYROBP"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"SIRPA"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"SIRPA"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"HLA-DQA1"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"HLA-DQA1"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"NFKBIA"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"NFKBIA"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"TNFAIP3"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"TNFAIP3"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"RIPK2"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"RIPK2"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"NLRP3"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"NLRP3"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"NOD2"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"NOD2"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"TLR4"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"TLR4"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"RXRA"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"RXRA"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
""	"hipc_gene_26755593_5"	"2016.02"	"hipc_gene_26755593_5"	"peripheral blood mononuclear cell"	"NLRC4"	"gene expression"	"up"	"MF59-adjuvanted"	"1"	"Days"	"time of vaccination (second dose)"	"1d (postboost)-0d (pre-imm)"	"2012"	"Fluad"	"VO_0004281"	""	"children (14-27m)"	"26755593"	"2016"	"Fig 4C-D"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/fig04/' target='_blank'>figure/fig04</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"children"	"14"	"27"	"months"	"5"	"50"	"NLRC4"	"17"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Victoria/361/2011(H3N2))"	"influenza B virus (B/Wisconsin/01/2010)"	"hipc_gene_sig_26755593_5.txt"	"hipc_gene_sig_complete_26755593_5.txt"
