""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD1A"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD1A"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD1B"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD1B"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD44"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD44"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD58"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD58"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD68"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD68"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD74"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD80"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD80"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD81"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD81"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD83"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD83"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CD209"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CD209"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"DCSTAMP"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"DCSTAMP"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"FCGR2B"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"FCGR2B"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CCL16"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CCL16"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"ICAM1"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"ICAM1"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"ICOS"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"ICOS"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"LAMP3"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"LAMP3"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CCL22"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CCL22"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CCL20"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CCL20"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CCL19"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CCL19"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CCL18"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CCL18"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"SOD2"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"SOD2"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"TAP2"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"TAP2"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"HSP90B1"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"HSP90B1"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"CARD14"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"CARD14"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"IRAK1"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"IRAK1"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"IRAK1BP1"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"IRAK1BP1"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"PYCARD"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"PYCARD"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
""	"hipc_gene_17349694_14"	"2007.05"	"hipc_gene_17349694_14"	"peripheral blood mononuclear cell"	"TICAM1"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"14"	"134"	"TICAM1"	"hipc_gene_sig_17349694_14.txt"	"hipc_gene_sig_complete_17349694_14.txt"
