""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Patel et al. (2018) Impact of Zostavax Vaccination on T-Cell Accumulation and Cutaneous Gene Expression in the Skin of Older Humans After Varicella Zoster Virus Antigen-Specific Challenge. J Infect Dis PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30247603' target='_blank'>30247603</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_30247603_3"	"2018.09"	"hipc_gene_30247603_3"	"skin of body"	"CXCL10"	"gene expression"	"up"	"VZV challenge"	"72"	"hours"	"time of challenge (second dose)"	"VZV challenged post-vaccination vs unchallenged"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"adults (70-93)"	"30247603"	"2018"	"Fig 6A"	"Table showing the top 30 genes upregulated at 72 hours after varicella zoster virus (VZV) challenge before and after vaccination."	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"3"	"398"	"CXCL10"	"30"	"hipc_gene_sig_30247603_3.txt"	"hipc_gene_sig_complete_30247603_3.txt"
""	"hipc_gene_30247603_3"	"2018.09"	"hipc_gene_30247603_3"	"skin of body"	"GZMB"	"gene expression"	"up"	"VZV challenge"	"72"	"hours"	"time of challenge (second dose)"	"VZV challenged post-vaccination vs unchallenged"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"adults (70-93)"	"30247603"	"2018"	"Fig 6A"	"Table showing the top 30 genes upregulated at 72 hours after varicella zoster virus (VZV) challenge before and after vaccination."	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"3"	"398"	"GZMB"	"30"	"hipc_gene_sig_30247603_3.txt"	"hipc_gene_sig_complete_30247603_3.txt"
""	"hipc_gene_30247603_3"	"2018.09"	"hipc_gene_30247603_3"	"skin of body"	"CXCL9"	"gene expression"	"up"	"VZV challenge"	"72"	"hours"	"time of challenge (second dose)"	"VZV challenged post-vaccination vs unchallenged"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"adults (70-93)"	"30247603"	"2018"	"Fig 6A"	"Table showing the top 30 genes upregulated at 72 hours after varicella zoster virus (VZV) challenge before and after vaccination."	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"3"	"398"	"CXCL9"	"30"	"hipc_gene_sig_30247603_3.txt"	"hipc_gene_sig_complete_30247603_3.txt"
""	"hipc_gene_30247603_3"	"2018.09"	"hipc_gene_30247603_3"	"skin of body"	"SERPINA1"	"gene expression"	"up"	"VZV challenge"	"72"	"hours"	"time of challenge (second dose)"	"VZV challenged post-vaccination vs unchallenged"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"adults (70-93)"	"30247603"	"2018"	"Fig 6A"	"Table showing the top 30 genes upregulated at 72 hours after varicella zoster virus (VZV) challenge before and after vaccination."	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"3"	"398"	"SERPINA1"	"30"	"hipc_gene_sig_30247603_3.txt"	"hipc_gene_sig_complete_30247603_3.txt"
