""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"signature source figure, table or text section "	"signature source url"	"comments and additional details"	"gene signature is a model"	"Querec et al. (2009) Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans. Nat Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19029902' target='_blank'>19029902</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component (genes) file"	" signature response components including non-HGNC genes"
""	"hipc_gene_19029902_5"	"2009.01"	"hipc_gene_19029902_5"	"peripheral blood mononuclear cell"	"RGS1"	"gene expression"	"predictive"	"none"	"3"	"days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig 4 & Suppl Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	"Supplementary Table 4: The genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"Y"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"363"	"RGS1"	"48"	"hipc_gene_sig_19029902_5.txt"	"hipc_gene_sig_complete_19029902_5.txt"
""	"hipc_gene_19029902_5"	"2009.01"	"hipc_gene_19029902_5"	"peripheral blood mononuclear cell"	"CD69"	"gene expression"	"predictive"	"none"	"3"	"days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig 4 & Suppl Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	"Supplementary Table 4: The genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"Y"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"363"	"CD69"	"48"	"hipc_gene_sig_19029902_5.txt"	"hipc_gene_sig_complete_19029902_5.txt"
""	"hipc_gene_19029902_5"	"2009.01"	"hipc_gene_19029902_5"	"peripheral blood mononuclear cell"	"ALDH3B1"	"gene expression"	"predictive"	"none"	"3"	"days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig 4 & Suppl Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	"Supplementary Table 4: The genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"Y"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"363"	"ALDH3B1"	"48"	"hipc_gene_sig_19029902_5.txt"	"hipc_gene_sig_complete_19029902_5.txt"
""	"hipc_gene_19029902_5"	"2009.01"	"hipc_gene_19029902_5"	"peripheral blood mononuclear cell"	"ACKR3"	"gene expression"	"predictive"	"none"	"3"	"days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig 4 & Suppl Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	"Supplementary Table 4: The genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"Y"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"363"	"CXCR7"	"48"	"hipc_gene_sig_19029902_5.txt"	"hipc_gene_sig_complete_19029902_5.txt"
""	"hipc_gene_19029902_5"	"2009.01"	"hipc_gene_19029902_5"	"peripheral blood mononuclear cell"	"C1QB"	"gene expression"	"predictive"	"none"	"3"	"days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig 4 & Suppl Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	"Supplementary Table 4: The genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"Y"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"363"	"C1QB"	"48"	"hipc_gene_sig_19029902_5.txt"	"hipc_gene_sig_complete_19029902_5.txt"
""	"hipc_gene_19029902_5"	"2009.01"	"hipc_gene_19029902_5"	"peripheral blood mononuclear cell"	"JUN"	"gene expression"	"predictive"	"none"	"3"	"days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig 4 & Suppl Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	"Supplementary Table 4: The genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"Y"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"363"	"JUN"	"48"	"hipc_gene_sig_19029902_5.txt"	"hipc_gene_sig_complete_19029902_5.txt"
""	"hipc_gene_19029902_5"	"2009.01"	"hipc_gene_19029902_5"	"peripheral blood mononuclear cell"	"ATP6V1E1"	"gene expression"	"predictive"	"none"	"3"	"days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig 4 & Suppl Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	"Supplementary Table 4: The genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"Y"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"363"	"ATP6V1E1"	"48"	"hipc_gene_sig_19029902_5.txt"	"hipc_gene_sig_complete_19029902_5.txt"
""	"hipc_gene_19029902_5"	"2009.01"	"hipc_gene_19029902_5"	"peripheral blood mononuclear cell"	"ASGR2"	"gene expression"	"predictive"	"none"	"3"	"days"	"time of vaccination (first dose)"	"3d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig 4 & Suppl Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	"Supplementary Table 4: The genes validated by ClaNC as being predictive of CD8+ T cell responses from Fig. 4."	"Y"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"5"	"363"	"ASGR2"	"48"	"hipc_gene_sig_19029902_5.txt"	"hipc_gene_sig_complete_19029902_5.txt"
