""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Hoft et al. (2016) Safety and Immunogenicity of the Recombinant BCG Vaccine AERAS-422 in Healthy BCG-naïve Adults: A Randomized, Active-controlled, First-in-human Phase 1 Trial. EBioMedicine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481' target='_blank'>27322481</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"IL12RB2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	"Fig 7A"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"176"	"IL12RB2"	"40"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"SPIRE1"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	"Fig 7A"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"176"	"SPIRE1"	"40"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"CACNA2D2"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	"Fig 7A"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"176"	"CACNA2D2"	"40"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"GZMH"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	"Fig 7A"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"176"	"GZMH"	"40"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"RNF165"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	"Fig 7A"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"176"	"RNF165"	"40"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
""	"hipc_gene_27322481_7"	"2016.05"	"hipc_gene_27322481_7"	"peripheral blood mononuclear cell"	"PRSS23"	"gene expression"	"negatively"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"correlated with whole blood bactericidal activity (WBA)"	"mycobacterium bovis BCG"	""	"Tice BCG; rBCG-Ag85A/Ag85B"	""	"adults (18-40)"	"27322481"	"2016"	"Fig 7A"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4909487/figure/f0035/' target='_blank'>figure/f0035</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27322481"	"adults"	"18"	"40"	"years"	"7"	"176"	"PRSS23"	"40"	"VO_0000103"	"VO_0004757"	"hipc_gene_sig_27322481_7.txt"	"hipc_gene_sig_complete_27322481_7.txt"
