""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Thakar et al. (2015) Aging-dependent alterations in gene expression and a mitochondrial signature of responsiveness to human influenza vaccination. Aging (Albany NY) PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819' target='_blank'>25596819</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_25596819_11"	"2015.01"	"hipc_gene_25596819_11"	"peripheral blood mononuclear cell"	"AAK1"	"gene expression"	"up"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"young adults vs seniors"	"2010, 2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30), seniors (70+)"	"25596819"	"2015"	"Suppl Table 2"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults, seniors"	"21"	""	"years"	"11"	"280"	"AAK1"	"23"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_11.txt"	"hipc_gene_sig_complete_25596819_11.txt"
""	"hipc_gene_25596819_11"	"2015.01"	"hipc_gene_25596819_11"	"peripheral blood mononuclear cell"	"AGAP4"	"gene expression"	"up"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"young adults vs seniors"	"2010, 2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30), seniors (70+)"	"25596819"	"2015"	"Suppl Table 2"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults, seniors"	"21"	""	"years"	"11"	"280"	"AGAP4"	"23"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_11.txt"	"hipc_gene_sig_complete_25596819_11.txt"
""	"hipc_gene_25596819_11"	"2015.01"	"hipc_gene_25596819_11"	"peripheral blood mononuclear cell"	"ALDOB"	"gene expression"	"up"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"young adults vs seniors"	"2010, 2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30), seniors (70+)"	"25596819"	"2015"	"Suppl Table 2"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults, seniors"	"21"	""	"years"	"11"	"280"	"ALDOB"	"23"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_11.txt"	"hipc_gene_sig_complete_25596819_11.txt"
""	"hipc_gene_25596819_11"	"2015.01"	"hipc_gene_25596819_11"	"peripheral blood mononuclear cell"	"ARRDC5"	"gene expression"	"up"	"none"	"0"	"Days"	"time of vaccination (first dose)"	"young adults vs seniors"	"2010, 2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"young adults (21-30), seniors (70+)"	"25596819"	"2015"	"Suppl Table 2"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819"	"adults, seniors"	"21"	""	"years"	"11"	"280"	"ARRDC5"	"23"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25596819_11.txt"	"hipc_gene_sig_complete_25596819_11.txt"
