""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Furman et al. (2013) Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. Mol. Syst. Biol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775' target='_blank'>23591775</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_23591775_1"	"2013.04"	"hipc_gene_23591775_1"	"peripheral blood mononuclear cell"	"TRBV5-4"	"gene expression"	"negatively"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2008"	"Fluzone"	"VO_0000047"	""	"adults (20-89+)"	"23591775"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults, seniors"	"20"	""	"years"	"1"	"349"	"TRBV5-4"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_23591775_1.txt"	"hipc_gene_sig_complete_23591775_1.txt"
""	"hipc_gene_23591775_1"	"2013.04"	"hipc_gene_23591775_1"	"peripheral blood mononuclear cell"	"TRBV5-5"	"gene expression"	"negatively"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2008"	"Fluzone"	"VO_0000047"	""	"adults (20-89+)"	"23591775"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults, seniors"	"20"	""	"years"	"1"	"349"	"TRBV5-5"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_23591775_1.txt"	"hipc_gene_sig_complete_23591775_1.txt"
""	"hipc_gene_23591775_1"	"2013.04"	"hipc_gene_23591775_1"	"peripheral blood mononuclear cell"	"TRBV5-8"	"gene expression"	"negatively"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2008"	"Fluzone"	"VO_0000047"	""	"adults (20-89+)"	"23591775"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults, seniors"	"20"	""	"years"	"1"	"349"	"TRBV5-8"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_23591775_1.txt"	"hipc_gene_sig_complete_23591775_1.txt"
""	"hipc_gene_23591775_1"	"2013.04"	"hipc_gene_23591775_1"	"peripheral blood mononuclear cell"	"TRBV6-1"	"gene expression"	"negatively"	"none"	"28"	"Days"	"time of vaccination (first dose)"	"correlated with age"	"2008"	"Fluzone"	"VO_0000047"	""	"adults (20-89+)"	"23591775"	"2013"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"adults, seniors"	"20"	""	"years"	"1"	"349"	"TRBV6-1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"hipc_gene_sig_23591775_1.txt"	"hipc_gene_sig_complete_23591775_1.txt"
