""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Querec et al. (2009) Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans. Nat Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19029902' target='_blank'>19029902</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_19029902_2"	"2009.01"	"hipc_gene_19029902_2"	"peripheral blood mononuclear cell"	"IRF7"	"gene expression"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig1 & Suppl Fig 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/figure/F1/' target='_blank'>figure/F1</a>; <a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"2"	"360"	"IRF7"	"47"	"hipc_gene_sig_19029902_2.txt"	"hipc_gene_sig_complete_19029902_2.txt"
""	"hipc_gene_19029902_2"	"2009.01"	"hipc_gene_19029902_2"	"peripheral blood mononuclear cell"	"STAT1"	"gene expression"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig1 & Suppl Fig 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/figure/F1/' target='_blank'>figure/F1</a>; <a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"2"	"360"	"STAT1"	"47"	"hipc_gene_sig_19029902_2.txt"	"hipc_gene_sig_complete_19029902_2.txt"
""	"hipc_gene_19029902_2"	"2009.01"	"hipc_gene_19029902_2"	"peripheral blood mononuclear cell"	"CD38"	"gene expression"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig1 & Suppl Fig 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/figure/F1/' target='_blank'>figure/F1</a>; <a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"2"	"360"	"CD38"	"47"	"hipc_gene_sig_19029902_2.txt"	"hipc_gene_sig_complete_19029902_2.txt"
""	"hipc_gene_19029902_2"	"2009.01"	"hipc_gene_19029902_2"	"peripheral blood mononuclear cell"	"C3AR1"	"gene expression"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig1 & Suppl Fig 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/figure/F1/' target='_blank'>figure/F1</a>; <a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"2"	"360"	"C3AR1"	"47"	"hipc_gene_sig_19029902_2.txt"	"hipc_gene_sig_complete_19029902_2.txt"
""	"hipc_gene_19029902_2"	"2009.01"	"hipc_gene_19029902_2"	"peripheral blood mononuclear cell"	"NEXN"	"gene expression"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig1 & Suppl Fig 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/figure/F1/' target='_blank'>figure/F1</a>; <a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"2"	"360"	"NEXN"	"47"	"hipc_gene_sig_19029902_2.txt"	"hipc_gene_sig_complete_19029902_2.txt"
""	"hipc_gene_19029902_2"	"2009.01"	"hipc_gene_19029902_2"	"peripheral blood mononuclear cell"	"SERPING1"	"gene expression"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"yellow fever virus 17D"	""	"YF-17D vaccine"	"VO_0003134"	""	"adults (18-45)"	"19029902"	"2009"	"Fig1 & Suppl Fig 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/figure/F1/' target='_blank'>figure/F1</a>; <a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/bin/NIHMS593578-supplement-01.pdf' target='_blank'>supplement-01.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"adults"	"18"	"45"	"years"	"2"	"360"	"SERPING1"	"47"	"hipc_gene_sig_19029902_2.txt"	"hipc_gene_sig_complete_19029902_2.txt"
