""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"complete_signature_file"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CCR5"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CCR5"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD1A"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD1A"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD1B"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD1B"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD1C"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD1C"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD1D"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD1D"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD44"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD44"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD58"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD58"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD68"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD68"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD74"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD80"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD80"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD81"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD81"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD86"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD86"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CDC42"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CDC42"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"DCP1B"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"DCP1B"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CD209"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CD209"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"DCSTAMP"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"DCSTAMP"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"DCTN2"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"DCTN2"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"FAS"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"FAS"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"FCER1A"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"FCER1A"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"FCER1G"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"FCER1G"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"FCGR1A"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"FCGR1A"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"FCGR2A"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"FCGR2A"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"FCGR2B"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"FCGR2B"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"RBMS1"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"RBMS1"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"HLA-DMA"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"HLA-DMA"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"HLA-DMB"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"HLA-DMB"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"HLA-DQB1"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"HLA-DQB1"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"HLA-DRB1"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"HLA-DRB1"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"ICAM2"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"ICAM2"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"LILRB4"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"LILRB4"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"ADAM11"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"ADAM11"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CCL22"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CCL22"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TAP1"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TAP1"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"CCL17"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"CCL17"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR1"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR1"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR2"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR2"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR3"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR3"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
""	"hipc_gene_17349694_5"	"2007.05"	"hipc_gene_17349694_5"	"peripheral blood mononuclear cell"	"TLR4"	"gene expression"	"up"	"none"	"18"	"Hours"	"time of vaccination (first dose)"	"18hr-0hr"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"5"	"133"	"TLR4"	"57"	"hipc_gene_sig_17349694_5.txt"	"hipc_gene_sig_complete_17349694_5.txt"
