""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Rechtien et al. (2017) Systems Vaccinology Identifies an Early Innate Immune Signature as a Correlate of Antibody Responses to the Ebola Vaccine rVSV-ZEBOV. Cell Rep PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28854372' target='_blank'>28854372</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_28854372_1"	"2017.08"	"hipc_gene_28854372_1"	"peripheral blood mononuclear cell"	"CCL2"	"gene expression"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"ebola virus"	""	"rVSV-ZEBOV"	"VO_0003155"	""	"adults (18-55)"	"28854372"	"2017"	"Table 2, NFKB1 and NFKB2 mentioned in text"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"adults"	"18"	"55"	"years"	"1"	"42"	"CCL2"	"hipc_gene_sig_28854372_1.txt"	"hipc_gene_sig_complete_28854372_1.txt"
""	"hipc_gene_28854372_1"	"2017.08"	"hipc_gene_28854372_1"	"peripheral blood mononuclear cell"	"LAMP3"	"gene expression"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"ebola virus"	""	"rVSV-ZEBOV"	"VO_0003155"	""	"adults (18-55)"	"28854372"	"2017"	"Table 2, NFKB1 and NFKB2 mentioned in text"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"adults"	"18"	"55"	"years"	"1"	"42"	"LAMP3"	"hipc_gene_sig_28854372_1.txt"	"hipc_gene_sig_complete_28854372_1.txt"
""	"hipc_gene_28854372_1"	"2017.08"	"hipc_gene_28854372_1"	"peripheral blood mononuclear cell"	"CXCL10"	"gene expression"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"ebola virus"	""	"rVSV-ZEBOV"	"VO_0003155"	""	"adults (18-55)"	"28854372"	"2017"	"Table 2, NFKB1 and NFKB2 mentioned in text"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"adults"	"18"	"55"	"years"	"1"	"42"	"CXCL10"	"hipc_gene_sig_28854372_1.txt"	"hipc_gene_sig_complete_28854372_1.txt"
""	"hipc_gene_28854372_1"	"2017.08"	"hipc_gene_28854372_1"	"peripheral blood mononuclear cell"	"RSAD2"	"gene expression"	"up"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"ebola virus"	""	"rVSV-ZEBOV"	"VO_0003155"	""	"adults (18-55)"	"28854372"	"2017"	"Table 2, NFKB1 and NFKB2 mentioned in text"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/28854372"	"adults"	"18"	"55"	"years"	"1"	"42"	"RSAD2"	"hipc_gene_sig_28854372_1.txt"	"hipc_gene_sig_complete_28854372_1.txt"
