""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Qi et al. (2016) Diversification of the antigen-specific T cell receptor repertoire after varicella zoster vaccination. Sci Transl Med PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598' target='_blank'>27030598</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_27030598_4"	"2016.03"	"hipc_gene_27030598_4"	"CD4-positive, alpha-beta T cell"	"TRBV10-3"	"gene expression"	"down"	"none"	"7 to 9"	"Days"	"time of vaccination (first dose)"	"CD4-positive T cell vs naive CD4-positive T cell"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"seniors (52-75)"	"27030598"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"	"adults, seniors"	"52"	"75"	"years"	"4"	"310"	"TRBV10-3"	"hipc_gene_sig_27030598_4.txt"	"hipc_gene_sig_complete_27030598_4.txt"
""	"hipc_gene_27030598_4"	"2016.03"	"hipc_gene_27030598_4"	"CD4-positive, alpha-beta T cell"	"TRBV14"	"gene expression"	"down"	"none"	"7 to 9"	"Days"	"time of vaccination (first dose)"	"CD4-positive T cell vs naive CD4-positive T cell"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"seniors (52-75)"	"27030598"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"	"adults, seniors"	"52"	"75"	"years"	"4"	"310"	"TRBV14"	"hipc_gene_sig_27030598_4.txt"	"hipc_gene_sig_complete_27030598_4.txt"
""	"hipc_gene_27030598_4"	"2016.03"	"hipc_gene_27030598_4"	"CD4-positive, alpha-beta T cell"	"TRBV15"	"gene expression"	"down"	"none"	"7 to 9"	"Days"	"time of vaccination (first dose)"	"CD4-positive T cell vs naive CD4-positive T cell"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"seniors (52-75)"	"27030598"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"	"adults, seniors"	"52"	"75"	"years"	"4"	"310"	"TRBV15"	"hipc_gene_sig_27030598_4.txt"	"hipc_gene_sig_complete_27030598_4.txt"
""	"hipc_gene_27030598_4"	"2016.03"	"hipc_gene_27030598_4"	"CD4-positive, alpha-beta T cell"	"TRBV19"	"gene expression"	"down"	"none"	"7 to 9"	"Days"	"time of vaccination (first dose)"	"CD4-positive T cell vs naive CD4-positive T cell"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"seniors (52-75)"	"27030598"	"2016"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"	"adults, seniors"	"52"	"75"	"years"	"4"	"310"	"TRBV19"	"hipc_gene_sig_27030598_4.txt"	"hipc_gene_sig_complete_27030598_4.txt"
