""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Matsumiya et al. (2013) Roles for Treg expansion and HMGB1 signaling through the TLR1-2-6 axis in determining the magnitude of the antigen-specific immune response to MVA85A. PLoS One PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129' target='_blank'>23844129</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_23844129_5"	"2013.07"	"hipc_gene_23844129_5"	"peripheral blood mononuclear cell"	"TROAP"	"gene expression"	"up"	"treated in vitro with wild-type MVA"	"6"	"Hours"	"time of vaccination (first dose)"	"vaccinated vs control"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"adults (18-55)"	"23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"adults"	"18"	"55"	"years"	"5"	"290"	"TROAP"	"35"	"hipc_gene_sig_23844129_5.txt"	"hipc_gene_sig_complete_23844129_5.txt"
""	"hipc_gene_23844129_5"	"2013.07"	"hipc_gene_23844129_5"	"peripheral blood mononuclear cell"	"HELT"	"gene expression"	"up"	"treated in vitro with wild-type MVA"	"6"	"Hours"	"time of vaccination (first dose)"	"vaccinated vs control"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"adults (18-55)"	"23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"adults"	"18"	"55"	"years"	"5"	"290"	"HELT"	"35"	"hipc_gene_sig_23844129_5.txt"	"hipc_gene_sig_complete_23844129_5.txt"
""	"hipc_gene_23844129_5"	"2013.07"	"hipc_gene_23844129_5"	"peripheral blood mononuclear cell"	"ICE1"	"gene expression"	"up"	"treated in vitro with wild-type MVA"	"6"	"Hours"	"time of vaccination (first dose)"	"vaccinated vs control"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"adults (18-55)"	"23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"adults"	"18"	"55"	"years"	"5"	"290"	"ICE1"	"35"	"hipc_gene_sig_23844129_5.txt"	"hipc_gene_sig_complete_23844129_5.txt"
""	"hipc_gene_23844129_5"	"2013.07"	"hipc_gene_23844129_5"	"peripheral blood mononuclear cell"	"RNASEH2B"	"gene expression"	"up"	"treated in vitro with wild-type MVA"	"6"	"Hours"	"time of vaccination (first dose)"	"vaccinated vs control"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"adults (18-55)"	"23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"adults"	"18"	"55"	"years"	"5"	"290"	"RNASEH2B"	"35"	"hipc_gene_sig_23844129_5.txt"	"hipc_gene_sig_complete_23844129_5.txt"
""	"hipc_gene_23844129_5"	"2013.07"	"hipc_gene_23844129_5"	"peripheral blood mononuclear cell"	"GRB7"	"gene expression"	"up"	"treated in vitro with wild-type MVA"	"6"	"Hours"	"time of vaccination (first dose)"	"vaccinated vs control"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"adults (18-55)"	"23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"adults"	"18"	"55"	"years"	"5"	"290"	"GRB7"	"35"	"hipc_gene_sig_23844129_5.txt"	"hipc_gene_sig_complete_23844129_5.txt"
""	"hipc_gene_23844129_5"	"2013.07"	"hipc_gene_23844129_5"	"peripheral blood mononuclear cell"	"LOC100288254"	"gene expression"	"up"	"treated in vitro with wild-type MVA"	"6"	"Hours"	"time of vaccination (first dose)"	"vaccinated vs control"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"adults (18-55)"	"23844129"	"2013"	"Table S1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3700883/bin/pone.0067922.s004.docx' target='_blank'>pone.0067922.s004.docx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23844129"	"adults"	"18"	"55"	"years"	"5"	"290"	"LOC100288254"	"35"	"hipc_gene_sig_23844129_5.txt"	"hipc_gene_sig_complete_23844129_5.txt"
