""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Fuller et al. (2007) Transcriptome analysis of human immune responses following live vaccine strain (LVS) Francisella tularensis vaccination. Mol. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694' target='_blank'>17349694</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_17349694_1"	"2007.05"	"hipc_gene_17349694_1"	"peripheral blood mononuclear cell"	"LRP1"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"1"	"121"	"LRP1"	"hipc_gene_sig_17349694_1.txt"	"hipc_gene_sig_complete_17349694_1.txt"
""	"hipc_gene_17349694_1"	"2007.05"	"hipc_gene_17349694_1"	"peripheral blood mononuclear cell"	"M6PR"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"1"	"121"	"M6PR"	"hipc_gene_sig_17349694_1.txt"	"hipc_gene_sig_complete_17349694_1.txt"
""	"hipc_gene_17349694_1"	"2007.05"	"hipc_gene_17349694_1"	"peripheral blood mononuclear cell"	"TXNIP"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"1"	"121"	"TXNIP"	"hipc_gene_sig_17349694_1.txt"	"hipc_gene_sig_complete_17349694_1.txt"
""	"hipc_gene_17349694_1"	"2007.05"	"hipc_gene_17349694_1"	"peripheral blood mononuclear cell"	"VAMP8"	"gene expression"	"up"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	""	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"1"	"121"	"VAMP8"	"hipc_gene_sig_17349694_1.txt"	"hipc_gene_sig_complete_17349694_1.txt"
