""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"signature source figure, table or text section "	"signature source url"	"comments and additional details"	"gene signature is a model"	"Haralambieva et al. (2016) Transcriptional signatures of influenza A/H1N1-specific IgG memory-like B cell response in older individuals. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456' target='_blank'>27317456</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component (genes) file"	" signature response components including non-HGNC genes"
""	"hipc_gene_27317456_18"	"2016.07"	"hipc_gene_27317456_18"	"peripheral blood mononuclear cell"	"TCF4"	"gene expression"	"positively"	"none"	"28"	"days"	"time of vaccination (first dose)"	"correlated with memory B cell response"	"2010"	"trivalent inactivated vaccine (A/California/7/09 (H1N1,), A/Perth /16/2009 (H3N2), and B/Brisbane/60/2008)."	"VO_0001176"	""	"adults (50-74)"	"27317456"	"2016"	"Table 1: Late gene expression (Day 28 - Day 0)        "	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/table/T1/' target='_blank'>table/T1</a>"	"Association of baseline, early and late gene expression changes with peak memory B cell ELISPOT response (Day 28 - Day 0) in older individuals"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/"	"adults, seniors"	"50"	"74"	"years"	"18"	"473"	"TCF4"	"4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_27317456_18.txt"	"hipc_gene_sig_complete_27317456_18.txt"
""	"hipc_gene_27317456_18"	"2016.07"	"hipc_gene_27317456_18"	"peripheral blood mononuclear cell"	"PIP5K1B"	"gene expression"	"positively"	"none"	"28"	"days"	"time of vaccination (first dose)"	"correlated with memory B cell response"	"2010"	"trivalent inactivated vaccine (A/California/7/09 (H1N1,), A/Perth /16/2009 (H3N2), and B/Brisbane/60/2008)."	"VO_0001176"	""	"adults (50-74)"	"27317456"	"2016"	"Table 1: Late gene expression (Day 28 - Day 0)        "	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/table/T1/' target='_blank'>table/T1</a>"	"Association of baseline, early and late gene expression changes with peak memory B cell ELISPOT response (Day 28 - Day 0) in older individuals"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/"	"adults, seniors"	"50"	"74"	"years"	"18"	"473"	"PIP5K1B"	"4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_27317456_18.txt"	"hipc_gene_sig_complete_27317456_18.txt"
""	"hipc_gene_27317456_18"	"2016.07"	"hipc_gene_27317456_18"	"peripheral blood mononuclear cell"	"PCDHGC3"	"gene expression"	"positively"	"none"	"28"	"days"	"time of vaccination (first dose)"	"correlated with memory B cell response"	"2010"	"trivalent inactivated vaccine (A/California/7/09 (H1N1,), A/Perth /16/2009 (H3N2), and B/Brisbane/60/2008)."	"VO_0001176"	""	"adults (50-74)"	"27317456"	"2016"	"Table 1: Late gene expression (Day 28 - Day 0)        "	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/table/T1/' target='_blank'>table/T1</a>"	"Association of baseline, early and late gene expression changes with peak memory B cell ELISPOT response (Day 28 - Day 0) in older individuals"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/"	"adults, seniors"	"50"	"74"	"years"	"18"	"473"	"PCDHGC3"	"4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_27317456_18.txt"	"hipc_gene_sig_complete_27317456_18.txt"
""	"hipc_gene_27317456_18"	"2016.07"	"hipc_gene_27317456_18"	"peripheral blood mononuclear cell"	"PLPP3"	"gene expression"	"positively"	"none"	"28"	"days"	"time of vaccination (first dose)"	"correlated with memory B cell response"	"2010"	"trivalent inactivated vaccine (A/California/7/09 (H1N1,), A/Perth /16/2009 (H3N2), and B/Brisbane/60/2008)."	"VO_0001176"	""	"adults (50-74)"	"27317456"	"2016"	"Table 1: Late gene expression (Day 28 - Day 0)        "	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/table/T1/' target='_blank'>table/T1</a>"	"Association of baseline, early and late gene expression changes with peak memory B cell ELISPOT response (Day 28 - Day 0) in older individuals"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520794/"	"adults, seniors"	"50"	"74"	"years"	"18"	"473"	"PLPP3"	"4"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_27317456_18.txt"	"hipc_gene_sig_complete_27317456_18.txt"
