""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"signature source figure, table or text section "	"signature source url"	"comments and additional details"	"gene signature is a model"	"Sobolev et al. (2016) Adjuvanted influenza-H1N1 vaccination reveals lymphoid signatures of age-dependent early responses and of clinical adverse events. Nat Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811' target='_blank'>26726811</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component (genes) file"	" signature response components including non-HGNC genes"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"TRIM22"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"TRIM22"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"IFI30"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"IFI30"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"IFI44"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"IFI44"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"IFITM2"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"IFITM2"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"GBP4"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"GBP4"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"GBP5"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"GBP5"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"GBP1"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"GBP1"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"GBP2"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"GBP2"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"IFI27"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"IFI27"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
""	"hipc_gene_26726811_2"	"2016.02"	"hipc_gene_26726811_2"	"peripheral blood mononuclear cell"	"IFI35"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-1d"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"adults (18-64)"	"26726811"	"2016"	"Fig 2e"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F2/' target='_blank'>figure/F2</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"53"	"IFI35"	"33"	"hipc_gene_sig_26726811_2.txt"	"hipc_gene_sig_complete_26726811_2.txt"
