""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Weinberger et al. (2018) Impaired Immune Response to Primary but Not to Booster Vaccination Against Hepatitis B in Older Adults. Front Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29868000' target='_blank'>29868000</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_29868000_4"	"2018.05"	"hipc_gene_29868000_4"	"blood"	"CD14"	"gene expression"	"positively"	"group A"	"1"	"day"	"time of vaccination (first dose)"	"correlated with high anti-HBs concentration"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	"Fig 7D"	"Eight single genes that are part of the 33-gene signature (Fig 7A) are depicted, whose change in expression levels after vaccination ... correlated with anti-HBs concentrations ...and showed... significant correlation with chronological age."	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"adults, seniors"	"20"	"84"	"years"	"4"	"369"	"CD14"	"8"	"hipc_gene_sig_29868000_4.txt"	"hipc_gene_sig_complete_29868000_4.txt"
""	"hipc_gene_29868000_4"	"2018.05"	"hipc_gene_29868000_4"	"blood"	"NLRP1"	"gene expression"	"positively"	"group A"	"1"	"day"	"time of vaccination (first dose)"	"correlated with high anti-HBs concentration"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	"Fig 7D"	"Eight single genes that are part of the 33-gene signature (Fig 7A) are depicted, whose change in expression levels after vaccination ... correlated with anti-HBs concentrations ...and showed... significant correlation with chronological age."	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"adults, seniors"	"20"	"84"	"years"	"4"	"369"	"NLRP1"	"8"	"hipc_gene_sig_29868000_4.txt"	"hipc_gene_sig_complete_29868000_4.txt"
""	"hipc_gene_29868000_4"	"2018.05"	"hipc_gene_29868000_4"	"blood"	"NLRP12"	"gene expression"	"positively"	"group A"	"1"	"day"	"time of vaccination (first dose)"	"correlated with high anti-HBs concentration"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	"Fig 7D"	"Eight single genes that are part of the 33-gene signature (Fig 7A) are depicted, whose change in expression levels after vaccination ... correlated with anti-HBs concentrations ...and showed... significant correlation with chronological age."	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"adults, seniors"	"20"	"84"	"years"	"4"	"369"	"NLRP12"	"8"	"hipc_gene_sig_29868000_4.txt"	"hipc_gene_sig_complete_29868000_4.txt"
""	"hipc_gene_29868000_4"	"2018.05"	"hipc_gene_29868000_4"	"blood"	"RAB33A"	"gene expression"	"positively"	"group A"	"1"	"day"	"time of vaccination (first dose)"	"correlated with high anti-HBs concentration"	"hepatitis B virus"	""	"Twinrix"	"VO_0000113"	""	"young/old adults (20-40)/(60-84)"	"29868000"	"2018"	"Fig 7D"	"Eight single genes that are part of the 33-gene signature (Fig 7A) are depicted, whose change in expression levels after vaccination ... correlated with anti-HBs concentrations ...and showed... significant correlation with chronological age."	""	"https://www.ncbi.nlm.nih.gov/pubmed/29868000"	"adults, seniors"	"20"	"84"	"years"	"4"	"369"	"RAB33A"	"8"	"hipc_gene_sig_29868000_4.txt"	"hipc_gene_sig_complete_29868000_4.txt"
