""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Hoek et al. (2015) A cell-based systems biology assessment of human blood to monitor immune responses after influenza vaccination. PLoS One PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537' target='_blank'>25706537</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"LYG1"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"LYG1"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"TMEM169"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"TMEM169"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"RPL39L"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"RPL39L"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"TPPP"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"TPPP"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"ROPN1L"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"ROPN1L"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"GDF9"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"GDF9"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"LGALS12"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"LGALS12"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"UBAC2-AS1"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"UBAC2-AS1"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"TRAV16"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"TRAV16"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"IGHV3-74"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"IGHV3-74"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"BOLA2B"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"BOLA2B"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"SERPINB2"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"SERPINB2"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
""	"hipc_gene_25706537_4"	"2015.02"	"hipc_gene_25706537_4"	"peripheral blood mononuclear cell"	"IGLV8-61"	"gene expression"	"down"	"none"	"1"	"Day"	"time of vaccination (first dose)"	"1d-0d"	"2011"	"Inactivated influenza vaccine"	"VO_0004810"	""	"adults"	"25706537"	"2015"	"S7 Dataset"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4338067/bin/pone.0118528.s007.xlsx' target='_blank'>pone.0118528.s007.xlsx</a>"	"Down-regulated DE RNA transcripts (down >= 1.5x) shared between both TIV-vaccinated donors"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=25706537"	"adults"	""	""	""	"4"	"285"	"IGLV8-61"	"13"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_25706537_4.txt"	"hipc_gene_sig_complete_25706537_4.txt"
