""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"vaccine"	"vaccine"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Gaucher et al. (2008) Yellow fever vaccine induces integrated multilineage and polyfunctional immune responses. J Exp Med PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19047440' target='_blank'>19047440</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_19047440_8"	"2008.12"	"hipc_gene_19047440_8"	"peripheral blood mononuclear cell"	"LMO2"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"8"	"37"	"LMO2"	"12"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_8.txt"	"hipc_gene_sig_complete_19047440_8.txt"
""	"hipc_gene_19047440_8"	"2008.12"	"hipc_gene_19047440_8"	"peripheral blood mononuclear cell"	"P2RY13"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"8"	"37"	"P2RY13"	"12"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_8.txt"	"hipc_gene_sig_complete_19047440_8.txt"
""	"hipc_gene_19047440_8"	"2008.12"	"hipc_gene_19047440_8"	"peripheral blood mononuclear cell"	"RBM47"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"8"	"37"	"RBM47"	"12"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_8.txt"	"hipc_gene_sig_complete_19047440_8.txt"
""	"hipc_gene_19047440_8"	"2008.12"	"hipc_gene_19047440_8"	"peripheral blood mononuclear cell"	"ATM"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"8"	"37"	"ATM"	"12"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_8.txt"	"hipc_gene_sig_complete_19047440_8.txt"
""	"hipc_gene_19047440_8"	"2008.12"	"hipc_gene_19047440_8"	"peripheral blood mononuclear cell"	"ANAPC16"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"8"	"37"	"ANAPC16"	"12"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_8.txt"	"hipc_gene_sig_complete_19047440_8.txt"
""	"hipc_gene_19047440_8"	"2008.12"	"hipc_gene_19047440_8"	"peripheral blood mononuclear cell"	"NAP1L1"	"gene expression"	"down"	"none"	"14"	"Days"	"time of vaccination (first dose)"	"14d-0d"	"yellow fever virus 17D"	""	"YF-Vax; Stamaril"	""	"unknown"	"19047440"	"2008"	"Supplemental Document 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/19047440"	""	""	""	""	"8"	"37"	"NAP1L1"	"12"	"VO_0000121"	"VO_0003139"	"hipc_gene_sig_19047440_8.txt"	"hipc_gene_sig_complete_19047440_8.txt"
