""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Matsumiya et al. (2014) Inflammatory and myeloid-associated gene expression before and one day after infant vaccination with MVA85A correlates with induction of a T cell response. BMC Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498' target='_blank'>24912498</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_24912498_1"	"2014.06"	"hipc_gene_24912498_1"	"blood"	"CXCL10"	"gene expression"	"up"	"BCG-primed"	"1"	"Day"	"time of vaccination (first dose)"	"vaccinated vs candin placebo"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"infants (4-6m)"	"24912498"	"2014"	"Table 2"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"infants"	"4"	"6"	"months"	"1"	"185"	"CXCL10"	"hipc_gene_sig_24912498_1.txt"	"hipc_gene_sig_complete_24912498_1.txt"
""	"hipc_gene_24912498_1"	"2014.06"	"hipc_gene_24912498_1"	"blood"	"ANKRD22"	"gene expression"	"up"	"BCG-primed"	"1"	"Day"	"time of vaccination (first dose)"	"vaccinated vs candin placebo"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"infants (4-6m)"	"24912498"	"2014"	"Table 2"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"infants"	"4"	"6"	"months"	"1"	"185"	"ANKRD22"	"hipc_gene_sig_24912498_1.txt"	"hipc_gene_sig_complete_24912498_1.txt"
""	"hipc_gene_24912498_1"	"2014.06"	"hipc_gene_24912498_1"	"blood"	"IDO1"	"gene expression"	"up"	"BCG-primed"	"1"	"Day"	"time of vaccination (first dose)"	"vaccinated vs candin placebo"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"infants (4-6m)"	"24912498"	"2014"	"Table 2"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"infants"	"4"	"6"	"months"	"1"	"185"	"IDO1"	"hipc_gene_sig_24912498_1.txt"	"hipc_gene_sig_complete_24912498_1.txt"
""	"hipc_gene_24912498_1"	"2014.06"	"hipc_gene_24912498_1"	"blood"	"GBP5"	"gene expression"	"up"	"BCG-primed"	"1"	"Day"	"time of vaccination (first dose)"	"vaccinated vs candin placebo"	"mycobacterium bovis BCG"	""	"Modified Vaccinia Ankara (MVA) virus vaccine vector"	"VO_0003120"	""	"infants (4-6m)"	"24912498"	"2014"	"Table 2"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24912498"	"infants"	"4"	"6"	"months"	"1"	"185"	"GBP5"	"hipc_gene_sig_24912498_1.txt"	"hipc_gene_sig_complete_24912498_1.txt"
