""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"reference"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"signature source url"	"comments and additional details"	"gene signature is a model"	"Nakaya et al. (2011) Systems biology of vaccination for seasonal influenza in humans. Nat Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478' target='_blank'>21743478</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"target pathogen 4"	"target pathogen 5"	"target pathogen 6"	"target pathogen 7"	"signature response component (genes) file"	"complete signature response components including non-HGNC genes"
""	"hipc_gene_21743478_29"	"2011.07"	"hipc_gene_21743478_29"	"plasmacytoid dendritic cell"	"P4HB"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-0d"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	""	"young adults (18-50)"	"21743478"	"2011"	"Supplementary Table 2a: TIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"29"	"307"	"P4HB"	"196"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_29.txt"	"hipc_gene_sig_complete_21743478_29.txt"
""	"hipc_gene_21743478_29"	"2011.07"	"hipc_gene_21743478_29"	"plasmacytoid dendritic cell"	"PRDX6"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-0d"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	""	"young adults (18-50)"	"21743478"	"2011"	"Supplementary Table 2a: TIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"29"	"307"	"PRDX6"	"196"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_29.txt"	"hipc_gene_sig_complete_21743478_29.txt"
""	"hipc_gene_21743478_29"	"2011.07"	"hipc_gene_21743478_29"	"plasmacytoid dendritic cell"	"RAB11A"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-0d"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	""	"young adults (18-50)"	"21743478"	"2011"	"Supplementary Table 2a: TIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"29"	"307"	"RAB11A"	"196"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_29.txt"	"hipc_gene_sig_complete_21743478_29.txt"
""	"hipc_gene_21743478_29"	"2011.07"	"hipc_gene_21743478_29"	"plasmacytoid dendritic cell"	"USP9X"	"gene expression"	"down"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"7d-0d"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	""	"young adults (18-50)"	"21743478"	"2011"	"Supplementary Table 2a: TIV-pDC"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-3.xlsx' target='_blank'>supplement-3.xlsx</a>"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"adults"	"18"	"50"	"years"	"29"	"307"	"USP9X"	"196"	"VO_0000045"	"VO_0000046"	"influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"influenza A virus (A/Wisconsin/67/2005(H3N2))"	"influenza B virus (B/Malaysia/2506/2004)"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_sig_21743478_29.txt"	"hipc_gene_sig_complete_21743478_29.txt"
