""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"proterm_and_extra"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"responsecomponent (original)"	"response component (cell subset)"	"cell type PRO and extra terms"	"all responsecomponents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Qi et al. (2016) Defective T Memory Cell Differentiation after Varicella Zoster Vaccination in Older Individuals. PLoS Pathog. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254' target='_blank'>27764254</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_dir_27764254"	"2016.10"	"hipc_ctf_dir_11"	"peripheral blood mononuclear cell"	"T cell"	"T cell"	""	"T cell"	"cell type frequency"	"up"	"none"	"8"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"8d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254"	"adults, seniors"	"50"	"75"	"years"	"1"	"51"	"hipc_ctf_dir_27764254_51.txt"
""	"hipc_ctf_dir_27764254"	"2016.10"	"hipc_ctf_dir_11"	"peripheral blood mononuclear cell"	"T cell"	"T cell"	""	"T cell"	"cell type frequency"	"up"	"none"	"14"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"14d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254"	"adults, seniors"	"50"	"75"	"years"	"2"	"52"	"hipc_ctf_dir_27764254_52.txt"
""	"hipc_ctf_dir_27764254"	"2016.10"	"hipc_ctf_dir_11"	"peripheral blood mononuclear cell"	"T cell"	"T cell"	""	"T cell"	"cell type frequency"	"up"	"none"	"28"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"28d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254"	"adults, seniors"	"50"	"75"	"years"	"3"	"53"	"hipc_ctf_dir_27764254_53.txt"
""	"hipc_ctf_dir_27764254"	"2016.10"	"hipc_ctf_dir_11"	"peripheral blood mononuclear cell"	"T cell"	"T cell"	""	"T cell"	"cell type frequency"	"down"	"none"	"28"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"28d-8d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254"	"adults, seniors"	"50"	"75"	"years"	"4"	"54"	"hipc_ctf_dir_27764254_54.txt"
""	"hipc_ctf_dir_27764254"	"2016.10"	"hipc_ctf_dir_11"	"peripheral blood mononuclear cell"	"CD38+HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)"	"CD4-positive, alpha-beta T cell"	"& CD38+, HLADR+, VZV tetramer+"	"CD4-positive, alpha-beta T cell & CD38+, HLADR+, VZV tetramer+"	"cell type frequency"	"up"	"none"	"8"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"14d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254"	"adults, seniors"	"50"	"75"	"years"	"5"	"55"	"hipc_ctf_dir_27764254_55.txt"
""	"hipc_ctf_dir_27764254"	"2016.10"	"hipc_ctf_dir_11"	"peripheral blood mononuclear cell"	"CD38+HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)"	"CD4-positive, alpha-beta T cell"	"& CD38+, HLADR+, VZV tetramer+"	"CD4-positive, alpha-beta T cell & CD38+, HLADR+, VZV tetramer+"	"cell type frequency"	"up"	"none"	"14"	"Days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"14d-0d"	"time of vaccination (first dose)"	"seniors (50-75)"	"27764254"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27764254"	"adults, seniors"	"50"	"75"	"years"	"6"	"56"	"hipc_ctf_dir_27764254_56.txt"
