""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"proterm_and_extra"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"responsecomponent (original)"	"response component (cell subset)"	"cell type PRO and extra terms"	"all responsecomponents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Patel et al. (2018) Impact of Zostavax Vaccination on T-Cell Accumulation and Cutaneous Gene Expression in the Skin of Older Humans After Varicella Zoster Virus Antigen-Specific Challenge. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30247603' target='_blank'>30247603</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"blood"	"T cells IFNg producing VZV-specific CD4+"	"CD4-positive, alpha-beta T cell"	"& IFNG+, VZV-specific"	"CD4-positive, alpha-beta T cell & IFNG+, VZV-specific"	"cell type frequency"	"up"	"none"	""	""	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"1"	"141"	"hipc_ctf_dir_30247603_141.txt"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"skin of body"	"T cells CD4+"	"CD4-positive, alpha-beta T cell"	""	"CD4-positive, alpha-beta T cell"	"cell type frequency"	"up"	"none"	"3"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"2"	"142"	"hipc_ctf_dir_30247603_142.txt"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"skin of body"	"T cells CD4+"	"CD4-positive, alpha-beta T cell"	""	"CD4-positive, alpha-beta T cell"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"3"	"143"	"hipc_ctf_dir_30247603_143.txt"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"skin of body"	"T cells CD8+"	"CD8-positive, alpha-beta T cell"	""	"CD8-positive, alpha-beta T cell"	"cell type frequency"	"up"	"none"	"3"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"4"	"144"	"hipc_ctf_dir_30247603_144.txt"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"skin of body"	"T cells CD8+"	"CD8-positive, alpha-beta T cell"	""	"CD8-positive, alpha-beta T cell"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"5"	"145"	"hipc_ctf_dir_30247603_145.txt"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"skin of body"	"T cells CD8+ Ki67+"	"CD8-positive, alpha-beta T cell"	"& pKI-67+"	"CD8-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"up"	"none"	"3"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"6"	"146"	"hipc_ctf_dir_30247603_146.txt"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"skin of body"	"T cells CD8+ Ki67+"	"CD8-positive, alpha-beta T cell"	"& pKI-67+"	"CD8-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"7"	"147"	"hipc_ctf_dir_30247603_147.txt"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"skin of body"	"Tregs Foxp3+"	"regulatory T cell"	"& Foxp3+"	"regulatory T cell & Foxp3+"	"cell type frequency"	"down"	"none"	"3"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"8"	"148"	"hipc_ctf_dir_30247603_148.txt"
""	"hipc_ctf_dir_30247603"	"2018.09"	"hipc_ctf_dir_31"	"skin of body"	"Tregs Foxp3+"	"regulatory T cell"	"& Foxp3+"	"regulatory T cell & Foxp3+"	"cell type frequency"	"down"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"Varicella zoster virus (VZV) antigen challenge"	"after vs before vaccine"	"time of vaccination (first dose)"	"adults (70-93)"	"30247603"	"2018"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151076/"	"seniors"	"70"	"93"	"years"	"9"	"149"	"hipc_ctf_dir_30247603_149.txt"
