""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"cell_ontology_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (original)"	"response component (cell subset)"	"cell ontology ID"	"cell type PRO and extra terms"	"protein ontology ID"	"all response components in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Sobolev et al. (2016) Adjuvanted influenza-H1N1 vaccination reveals lymphoid signatures of age-dependent early responses and of clinical adverse events. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811' target='_blank'>26726811</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"gamma-delta T cell"	"gamma-delta T cell"	"CL_0000798"	""	""	"gamma-delta T cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"1"	"24"	"hipc_ctf_dir_26726811_24.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	"CL_0000786"	""	""	"plasma cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"1"	"24"	"hipc_ctf_dir_26726811_24.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	"CL_0000786"	""	""	"plasma cell"	"cell type frequency"	"up"	"none"	"7"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"25"	"hipc_ctf_dir_26726811_25.txt"
""	"hipc_ctf_dir_26726811"	"2016.02"	"hipc_ctf_dir_6"	"peripheral blood mononuclear cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"CL_0001041"	""	""	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"cell type frequency"	"down"	"none"	"1"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-35)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults"	"18"	"35"	"years"	"3"	"26"	"hipc_ctf_dir_26726811_26.txt"
