""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"proterm_and_extra"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"responsecomponent (original)"	"response component (cell subset)"	"cell type PRO and extra terms"	"all responsecomponents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Weinberg et al. (2017) Varicella-Zoster Virus-Specific Cellular Immune Responses to the Live Attenuated Zoster Vaccine in Young and Older Adults. J. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28607114' target='_blank'>28607114</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"30"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"1"	"151"	"hipc_ctf_dir_28607114_151.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"30"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"2"	"152"	"hipc_ctf_dir_28607114_152.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"90"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"3"	"153"	"hipc_ctf_dir_28607114_153.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"90"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"4"	"154"	"hipc_ctf_dir_28607114_154.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"down"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"5"	"155"	"hipc_ctf_dir_28607114_155.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"up"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"6"	"156"	"hipc_ctf_dir_28607114_156.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	"& VZV-specific"	"CD4-positive, alpha-beta memory T cell & VZV-specific"	"cell type frequency"	"down"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"young adults vs old adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"7"	"157"	"hipc_ctf_dir_28607114_157.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"up"	"none"	"90"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"8"	"158"	"hipc_ctf_dir_28607114_158.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"up"	"none"	"90"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"9"	"159"	"hipc_ctf_dir_28607114_159.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"down"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"10"	"160"	"hipc_ctf_dir_28607114_160.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"up"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"11"	"161"	"hipc_ctf_dir_28607114_161.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"& IL2+, Bcl2+, VZV-specific"	"CD4-positive, alpha-beta memory T cell & IL2+, Bcl2+, VZV-specific"	"cell type frequency"	"down"	"none"	"180"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"young adults vs old adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"12"	"162"	"hipc_ctf_dir_28607114_162.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"T cells Dual-function VZV-specific CD4+"	"CD4-positive, alpha-beta T cell"	"& dual-function, VZV-specific"	"CD4-positive, alpha-beta T cell & dual-function, VZV-specific"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"13"	"163"	"hipc_ctf_dir_28607114_163.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"T cells Dual-function VZV-specific CD8+"	"CD8-positive, alpha-beta T cell"	"& dual-function, VZV-specific"	"CD8-positive, alpha-beta T cell & dual-function, VZV-specific"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"7d-0d"	"time of vaccination (first dose)"	"young adults (25-40)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"14"	"164"	"hipc_ctf_dir_28607114_164.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"T cells Single-function VZV-specific CD8+"	"CD8-positive, alpha-beta T cell"	"& single-function, VZV-specific"	"CD8-positive, alpha-beta T cell & single-function, VZV-specific"	"cell type frequency"	"down"	"none"	"30"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"time of vaccination (first dose)"	"old adults (60-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"15"	"165"	"hipc_ctf_dir_28607114_165.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"VZV-specific CD8+CD69+CD57+ cells"	"CD8-positive, alpha-beta T cell"	"& CD69+, VZV-specific, CD57+"	"CD8-positive, alpha-beta T cell & CD69+, VZV-specific, CD57+"	"cell type frequency"	"up"	"none"	"0"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"old adults vs young adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"16"	"166"	"hipc_ctf_dir_28607114_166.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"VZV-specific CD8+CD69+PD1+ cells"	"CD8-positive, alpha-beta T cell"	"& CD69+, PD-1+, VZV-specific"	"CD8-positive, alpha-beta T cell & CD69+, PD-1+, VZV-specific"	"cell type frequency"	"up"	"none"	"0"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"old adults vs young adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"17"	"167"	"hipc_ctf_dir_28607114_167.txt"
""	"hipc_ctf_dir_28607114"	"2017.07"	"hipc_ctf_dir_33"	"peripheral blood mononuclear cell"	"VZV-specific CD8+CD69+CD57+ cells"	"CD8-positive, alpha-beta T cell"	"& CD69+, VZV-specific, CD57+"	"CD8-positive, alpha-beta T cell & CD69+, VZV-specific, CD57+"	"cell type frequency"	"up"	"none"	"7"	"days"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"old adults vs young adults"	"time of vaccination (first dose)"	"adults (25-80)"	"28607114"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"18"	"168"	"hipc_ctf_dir_28607114_168.txt"
