""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component_original"	"response_component"	"proterm_and_extra"	"fully_qualified_response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"responsecomponent (original)"	"response component (cell subset)"	"cell type PRO and extra terms"	"all responsecomponents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Hou et al. (2017) A Systems Vaccinology Approach Reveals Temporal Transcriptomic Changes of Immune Responses to the Yellow Fever 17D Vaccine. J. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661' target='_blank'>28687661</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response component file"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell"	"plasmacytoid dendritic cell"	""	"plasmacytoid dendritic cell"	"cell type frequency"	"up"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"1"	"36"	"hipc_ctf_dir_28687661_36.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"natural killer cell"	"natural killer cell"	""	"natural killer cell"	"cell type frequency"	"down"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"2"	"37"	"hipc_ctf_dir_28687661_37.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NKGA2-positive natural killer cell"	"NKGA2-positive natural killer cell"	""	"NKGA2-positive natural killer cell"	"cell type frequency"	"down"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"2"	"37"	"hipc_ctf_dir_28687661_37.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NKP46-positive natural killer cell"	"natural killer cell"	"& NKp46+"	"natural killer cell & NKp46+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"2"	"37"	"hipc_ctf_dir_28687661_37.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"class switched memory B cell"	"class switched memory B cell"	""	"class switched memory B cell"	"cell type frequency"	"down"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"2"	"37"	"hipc_ctf_dir_28687661_37.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"CD3-positive, CD4-positive, CD28-positive B cell"	"B cell"	"& CD3 epsilon+, CD4+, CD28+"	"B cell & CD3 epsilon+, CD4+, CD28+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"2"	"37"	"hipc_ctf_dir_28687661_37.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD4+/Ki67+"	"CD4-positive, alpha-beta T cell"	"& pKI-67+"	"CD4-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"2"	"37"	"hipc_ctf_dir_28687661_37.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD8+/CD28+"	"CD8-positive, alpha-beta T cell"	"& CD28+"	"CD8-positive, alpha-beta T cell & CD28+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"2"	"37"	"hipc_ctf_dir_28687661_37.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD8+/Ki67+"	"CD8-positive, alpha-beta T cell"	"& pKI-67+"	"CD8-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"down"	"none"	"7"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"2"	"37"	"hipc_ctf_dir_28687661_37.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"Monocytes (CD14+)"	"CD14-positive monocyte"	"& CD14+"	"CD14-positive monocyte & CD14+"	"cell type frequency"	"down"	"none"	"14"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"3"	"38"	"hipc_ctf_dir_28687661_38.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20-/CD3-/NK/NKP46+)"	"natural killer cell"	"& CD20-, NKG2-A/B-activating NK receptor+"	"natural killer cell & CD20-, NKG2-A/B-activating NK receptor+"	"cell type frequency"	"down"	"none"	"14"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"3"	"38"	"hipc_ctf_dir_28687661_38.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD4+/Ki67+"	"CD4-positive, alpha-beta T cell"	"& pKI-67+"	"CD4-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"down"	"none"	"14"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"3"	"38"	"hipc_ctf_dir_28687661_38.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells CD3+/CD8+/Ki67+"	"CD8-positive, alpha-beta T cell"	"& pKI-67+"	"CD8-positive, alpha-beta T cell & pKI-67+"	"cell type frequency"	"down"	"none"	"14"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"14d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"3"	"38"	"hipc_ctf_dir_28687661_38.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"plasmacytoid dendritic cell"	"plasmacytoid dendritic cell"	""	"plasmacytoid dendritic cell"	"cell type frequency"	"up"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"4"	"39"	"hipc_ctf_dir_28687661_39.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+"	"B cell"	"& CD3 epsilon-"	"B cell & CD3 epsilon-"	"cell type frequency"	"up"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"4"	"39"	"hipc_ctf_dir_28687661_39.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"B cells CD3-/CD19+CD20+/IgD-IgM+/CD27+"	"IgM memory B cell"	"& CD3 epsilon-, CD27+"	"IgM memory B cell & CD3 epsilon-, CD27+"	"cell type frequency"	"up"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"4"	"39"	"hipc_ctf_dir_28687661_39.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"T cells Cd14-/CD3+/CD4+/IL2+/ENV"	"CD4-positive, alpha-beta T cell"	"& CD14-, IL2+, ENV"	"CD4-positive, alpha-beta T cell & CD14-, IL2+, ENV"	"cell type frequency"	"up"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"4"	"39"	"hipc_ctf_dir_28687661_39.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20/CD3-/NK)"	"natural killer cell"	"& CD20+"	"natural killer cell & CD20+"	"cell type frequency"	"down"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"5"	"40"	"hipc_ctf_dir_28687661_40.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20-/CD3-/NK/NKG2A+)"	"NKGA2-positive natural killer cell"	"& CD20-"	"NKGA2-positive natural killer cell & CD20-"	"cell type frequency"	"down"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"5"	"40"	"hipc_ctf_dir_28687661_40.txt"
""	"hipc_ctf_dir_28687661"	"2017.08"	"hipc_ctf_dir_9"	"peripheral blood mononuclear cell"	"NK cells (CD14-/CD20-/CD3-/NK/NKP46+)"	"natural killer cell"	"& CD20-, NKG2-A/B-activating NK receptor+"	"natural killer cell & CD20-, NKG2-A/B-activating NK receptor+"	"cell type frequency"	"down"	"none"	"28"	"Days"	"yellow fever virus 17D"	""	"YF-17D"	"VO_0003134"	""	"28d-0d"	"time of vaccination (first dose)"	"adults (25-42)"	"28687661"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28687661"	"adults"	"25"	"42"	"years"	"5"	"40"	"hipc_ctf_dir_28687661_40.txt"
