""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"leukocyte"	"leukocyte"	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"neutrophil"	"neutrophil"	""	"cell type frequency"	"up"	"none"	"1"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"B cell"	"B cell"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"B cell"	"B cell"	""	"cell type frequency"	"up"	"none"	"10"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"10d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"up"	"none"	"10"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"10d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"B cell"	"B cell"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"2009"	"Fluzone"	"VO_0000047"	""	"associated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"2009"	"Fluzone"	"VO_0000047"	""	"associated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"B cell"	"B cell"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluzone"	"VO_0000047"	""	"associated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2009"	"Fluzone"	"VO_0000047"	""	"associated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"B cell"	"B cell"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2009"	"Fluzone"	"VO_0000047"	""	"associated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20190305-hipciof_ctf_23601689"	"2019.03.05"	"hipciof_ctf_3"	"blood"	"plasmablast"	"plasmablast"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"Influenza B virus (B/Brisbane/60/2008)"	"2009"	"Fluzone"	"VO_0000047"	""	"associated with serology results"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
