""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (cell subset)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"
""	"20181126-hipciof_ctf_23601689"	"2018.11.26"	"hipciof_ctf"	"blood"	"leukocyte"	"Cell type frequency"	"up"	"none"	"1"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20181126-hipciof_ctf_23601689"	"2018.11.26"	"hipciof_ctf"	"blood"	"neutrophil"	"Cell type frequency"	"up"	"none"	"1"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20181126-hipciof_ctf_23601689"	"2018.11.26"	"hipciof_ctf"	"blood"	"B cell"	"Cell type frequency"	"up"	"none"	"7"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
""	"20181126-hipciof_ctf_23601689"	"2018.11.26"	"hipciof_ctf"	"blood"	"plasmablast"	"Cell type frequency"	"up"	"none"	"7"	"Days"	"Streptococcus pneumoniae"	""	"Pneumovax 23"	"VO_0000088"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"23601689"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23601689"
