""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (cell subset)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"
""	"20181126-hipciof_ctf_26755593"	"2018.11.26"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"Cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"Fluad"	"VO_0004281"	""	"associated withAntibody responses 28d and onward"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"
""	"20181126-hipciof_ctf_26755593"	"2018.11.26"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"Cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"Fluad"	"VO_0004281"	""	"associated withAntibody responses 28d and onward"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"
""	"20181126-hipciof_ctf_26755593"	"2018.11.26"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"CD4-positive, alpha-beta T cell"	"Cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza B virus"	"2012"	"Fluad"	"VO_0004281"	""	"associated withAntibody responses 28d and onward"	"time of vaccination (first dose)"	"children (14-27mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"
""	"20181126-hipciof_ctf_26755593"	"2018.11.26"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"interferon-gamma-positive T cells"	"Cell type frequency"	"up"	"none"	"56"	"Days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"Imuvac"	"VO_0003144"	""	"56d-0d"	"time of vaccination (first dose)"	"children (14-26mo)"	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593"
