""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Gonçalves et al. (2019) Innate gene signature distinguishes humoral versus cytotoxic responses to influenza vaccination. J. Clin. Invest. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30843873' target='_blank'>30843873</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191120-hipciof_ctf_30843873"	"2019.11.20"	"hipciof_ctf_29"	"serum"	"T cells TIV-specific CD8+ granzyme B+"	"CD8-positive, alpha-beta T cell"	"& granzyme B+"	"cell type frequency"	"up"	"Subjects 2"	"21"	"days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"1"	"133"
""	"20191120-hipciof_ctf_30843873"	"2019.11.20"	"hipciof_ctf_29"	"serum"	"T cells TIV-specific CD8+ granzyme B+"	"CD8-positive, alpha-beta T cell"	"& granzyme B+"	"cell type frequency"	"up"	"Subjects 2"	"21"	"days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"1"	"133"
""	"20191120-hipciof_ctf_30843873"	"2019.11.20"	"hipciof_ctf_29"	"serum"	"T cells TIV-specific CD8+ granzyme B+"	"CD8-positive, alpha-beta T cell"	"& granzyme B+"	"cell type frequency"	"up"	"Subjects 2"	"21"	"days"	"B/Wisconsin/1/2010"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"1"	"133"
""	"20191120-hipciof_ctf_30843873"	"2019.11.20"	"hipciof_ctf_29"	"serum"	"T cell responder TIV-specific CD8+ GRZ+"	"CD8-positive, alpha-beta T cell"	"& GZMB+"	"cell type frequency"	"up"	"Cluster 2"	"21"	"days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"2"	"134"
""	"20191120-hipciof_ctf_30843873"	"2019.11.20"	"hipciof_ctf_29"	"serum"	"T cell responder TIV-specific CD8+ GRZ+"	"CD8-positive, alpha-beta T cell"	"& GZMB+"	"cell type frequency"	"up"	"Cluster 2"	"21"	"days"	"Influenza A virus (A/Victoria/361/2011(H3N2))"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"2"	"134"
""	"20191120-hipciof_ctf_30843873"	"2019.11.20"	"hipciof_ctf_29"	"serum"	"T cell responder TIV-specific CD8+ GRZ+"	"CD8-positive, alpha-beta T cell"	"& GZMB+"	"cell type frequency"	"up"	"Cluster 2"	"21"	"days"	"B/Wisconsin/1/2010"	"2012"	"2012-2013 seasonal trivalent inactivated influenza vaccine (TIV)"	"VO_0001176"	""	"21d-0d"	"time of vaccination (first dose)"	"Adults (18-45)"	"30843873"	"2019"	"https://www.ncbi.nlm.nih.gov/pubmed/30843873"	"2"	"134"
