""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm"	"extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO terms"	"cell type extra details"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Varicella-Zoster Virus-Specific Cellular Immune Responses to the Live Attenuated Zoster Vaccine in Young and Older Adults."	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	""	"VZV-specific"	"cell type frequency"	"up"	""	"30"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"Time of vaccination (first dose)"	"Young adults (25-40)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"1"	"154"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	""	"VZV-specific"	"cell type frequency"	"up"	""	"30"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"Time of vaccination (first dose)"	"Old adults (60-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"2"	"155"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	""	"VZV-specific"	"cell type frequency"	"up"	""	"90"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"Time of vaccination (first dose)"	"Young adults (25-40)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"3"	"156"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	""	"VZV-specific"	"cell type frequency"	"up"	""	"90"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"Time of vaccination (first dose)"	"Old adults (60-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"4"	"157"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	""	"VZV-specific"	"cell type frequency"	"down"	""	"180"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"Time of vaccination (first dose)"	"Young adults (25-40)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"5"	"158"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	""	"VZV-specific"	"cell type frequency"	"up"	""	"180"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"Time of vaccination (first dose)"	"Old adults (60-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"6"	"159"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+"	"CD4-positive, alpha-beta memory T cell"	""	"VZV-specific"	"cell type frequency"	"down"	""	"180"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"Young adults vs Old adults"	"Time of vaccination (first dose)"	"Adults (25-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"7"	"160"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"IL2+, Bcl2+"	"VZV-specific"	"cell type frequency"	"up"	""	"90"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"Time of vaccination (first dose)"	"Young adults (25-40)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"8"	"161"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"IL2+, Bcl2+"	"VZV-specific"	"cell type frequency"	"up"	""	"90"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"90d-0d"	"Time of vaccination (first dose)"	"Old adults (60-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"9"	"162"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"IL2+, Bcl2+"	"VZV-specific"	"cell type frequency"	"down"	""	"180"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"Time of vaccination (first dose)"	"Young adults (25-40)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"10"	"163"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"IL2+, Bcl2+"	"VZV-specific"	"cell type frequency"	"up"	""	"180"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d-90d"	"Time of vaccination (first dose)"	"Old adults (60-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"11"	"164"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+IL2+Bcl2+"	"CD4-positive, alpha-beta memory T cell"	"IL2+, Bcl2+"	"VZV-specific"	"cell type frequency"	"down"	""	"180"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"Young adults vs Old adults"	"Time of vaccination (first dose)"	"Adults (25-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"12"	"165"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"T cells Dual-function VZV-specific CD4+"	"CD4-positive, alpha-beta T cell"	""	"Dual-function, VZV-specific"	"cell type frequency"	"up"	""	"7"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"7d-0d"	"Time of vaccination (first dose)"	"Young adults (25-40)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"13"	"166"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"T cells Dual-function VZV-specific CD8+"	"CD8-positive, alpha-beta T cell"	""	"Dual-function, VZV-specific"	"cell type frequency"	"up"	""	"7"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"7d-0d"	"Time of vaccination (first dose)"	"Young adults (25-40)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"14"	"167"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"T cells Single-function VZV-specific CD8+"	"CD8-positive, alpha-beta T cell"	""	"Single-function, VZV-specific"	"cell type frequency"	"down"	""	"30"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d-0d"	"Time of vaccination (first dose)"	"Old adults (60-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"15"	"168"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"VZV-specific CD8+CD69+CD57+ cells"	"CD8-positive, alpha-beta T cell"	"CD69+"	"VZV-specific, CD57+"	"cell type frequency"	"up"	""	"0"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"Old adults vs Young adults"	"Time of vaccination (first dose)"	"Adults (25-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"16"	"169"
""	"20191106-hipciof_ctf_28607114"	"2019.11.06"	"hipciof_ctf_34"	"peripheral blood mononuclear cell"	"VZV-specific CD8+CD69+PD1+ cells"	"CD8-positive, alpha-beta T cell"	"CD69+, PD-1+"	"VZV-specific"	"cell type frequency"	"up"	""	"0"	"days"	"Human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"Old adults vs Young adults"	"Time of vaccination (first dose)"	"Adults (25-80)"	"28607114"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"17"	"170"
