""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comment"	"publication_reference_url"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Figure or table or text section containing signature"	"comment"	"Osman et al. (2017) A third generation vaccine for human visceral leishmaniasis and post kala azar dermal leishmaniasis: First-in-human trial of ChAd63-KH. PLoS Negl Trop Dis PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28498840' target='_blank'>28498840</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response agents file"
""	"20170710-hipciof_ctf_28498840"	"2017.07.10"	"hipciof_ctf_29"	"blood"	"T cells CD4+ naive"	"naive thymus-derived CD4-positive, alpha-beta T cell"	""	"naive thymus-derived CD4-positive, alpha-beta T cell"	"cell type frequency"	"down"	"high-dose"	"24"	"hours"	"leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"Adullts (18-50)"	"28498840"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"1"	"132"	"hipciof_ctf_28498840_132.txt"
""	"20170710-hipciof_ctf_28498840"	"2017.07.10"	"hipciof_ctf_29"	"blood"	"T cells CD4+ resting memory"	"CD4-positive, alpha-beta memory T cell"	"& resting"	"CD4-positive, alpha-beta memory T cell & resting"	"cell type frequency"	"down"	"high-dose"	"24"	"hours"	"leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"Adullts (18-50)"	"28498840"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"1"	"132"	"hipciof_ctf_28498840_132.txt"
""	"20170710-hipciof_ctf_28498840"	"2017.07.10"	"hipciof_ctf_29"	"blood"	"monocyte"	"monocyte"	""	"monocyte"	"cell type frequency"	"up"	"high-dose"	"24"	"hours"	"leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"Adullts (18-50)"	"28498840"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"2"	"133"	"hipciof_ctf_28498840_133.txt"
""	"20170710-hipciof_ctf_28498840"	"2017.07.10"	"hipciof_ctf_29"	"blood"	"activated DC"	"dendritic cell"	"& activated"	"dendritic cell & activated"	"cell type frequency"	"up"	"high-dose"	"24"	"hours"	"leishmania donovani"	""	"ChAd63-KH"	"VO_0003961"	""	"24hr-0hr"	"time of vaccination (first dose)"	"Adullts (18-50)"	"28498840"	"2017"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443534/"	"2"	"133"	"hipciof_ctf_28498840_133.txt"
