""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Santos et al. (2008) Detection of Th1/Th2 cytokine signatures in yellow fever 17DD first-time vaccinees through ELISpot assay. Cytokine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159' target='_blank'>18378159</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20080624-hipciof_ctf_18378159"	"2008.06.24"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IFN-gamma producing cells (Th1)"	"T-helper 1 cell"	"& IFNG+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"15d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"	"1"	"64"
""	"20080624-hipciof_ctf_18378159"	"2008.06.24"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IFN-gamma producing cells (Th1)"	"T-helper 1 cell"	"& IFNG+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"15d-7d"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"	"2"	"65"
""	"20080624-hipciof_ctf_18378159"	"2008.06.24"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IFN-gamma producing cells (Th1)"	"T-helper 1 cell"	"& IFNG+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"treated vs untreated"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"	"3"	"66"
""	"20080624-hipciof_ctf_18378159"	"2008.06.24"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IL-4 producing cells (Th2)"	"T-helper 2 cell"	"& IL-4+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"15d-0d"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"	"4"	"67"
""	"20080624-hipciof_ctf_18378159"	"2008.06.24"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IL-4 producing cells (Th2)"	"T-helper 2 cell"	"& IL-4+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"15d-7d"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"	"5"	"68"
""	"20080624-hipciof_ctf_18378159"	"2008.06.24"	"hipciof_ctf_20"	"peripheral blood mononuclear cell"	"IL-4 producing cells (Th2)"	"T-helper 2 cell"	"& IL-4+"	"cell type frequency"	"up"	"none"	"15"	"Days"	"Yellow fever virus 17D"	""	"YF 17DD-YFV"	"VO_0003136"	""	"treated vs untreated"	"time of vaccination (first dose)"	"adults (18-55)"	"18378159"	"2008"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=18378159"	"6"	"69"
