""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO &extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Voigt et al. (2020) Sex Differences in Older Adults' Immune Responses to Seasonal Influenza Vaccination. Front Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=30873150' target='_blank'>30873150</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20200116-hipciof_ctf_30873150"	"2020.01.16"	"hipciof_ctf_31"	"peripheral blood mononuclear cell"	"T cells CD4+"	"CD4-positive, alpha-beta T cell"	""	"cell type frequency"	"up"	"Females"	"0"	"days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"Caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"142"
""	"20200116-hipciof_ctf_30873150"	"2020.01.16"	"hipciof_ctf_31"	"peripheral blood mononuclear cell"	"T cells CD4+"	"CD4-positive, alpha-beta T cell"	""	"cell type frequency"	"up"	"Females"	"0"	"days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"Caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"142"
""	"20200116-hipciof_ctf_30873150"	"2020.01.16"	"hipciof_ctf_31"	"peripheral blood mononuclear cell"	"T cells CD4+"	"CD4-positive, alpha-beta T cell"	""	"cell type frequency"	"up"	"Females"	"0"	"days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluarix"	"VO_0000045"	""	"females vs males"	"time of vaccination (first dose)"	"Caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"1"	"142"
""	"20200116-hipciof_ctf_30873150"	"2020.01.16"	"hipciof_ctf_31"	"peripheral blood mononuclear cell"	"NK cell"	"natural killer cell"	""	"cell type frequency"	"up"	"Males"	"0"	"days"	"Influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Fluarix"	"VO_0000045"	""	"males vs females"	"time of vaccination (first dose)"	"Caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"2"	"143"
""	"20200116-hipciof_ctf_30873150"	"2020.01.16"	"hipciof_ctf_31"	"peripheral blood mononuclear cell"	"NK cell"	"natural killer cell"	""	"cell type frequency"	"up"	"Males"	"0"	"days"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"2010"	"Fluarix"	"VO_0000045"	""	"males vs females"	"time of vaccination (first dose)"	"Caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"2"	"143"
""	"20200116-hipciof_ctf_30873150"	"2020.01.16"	"hipciof_ctf_31"	"peripheral blood mononuclear cell"	"NK cell"	"natural killer cell"	""	"cell type frequency"	"up"	"Males"	"0"	"days"	"Influenza B virus (B/Brisbane/60/2008)"	"2010"	"Fluarix"	"VO_0000045"	""	"males vs females"	"time of vaccination (first dose)"	"Caucasion older adults (50-74)"	"30873150"	"2019"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400991/"	"2"	"143"
