""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_original"	"response_agent"	"proterm_and_extra"	"fully_qualified_response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"signature_file"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	""	""	""	"tissue"	"observed"	"cell_biomarker"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"all response agents in signature"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"Sobolev et al. (2016) Adjuvanted influenza-H1N1 vaccination reveals lymphoid signatures of age-dependent early responses and of clinical adverse events. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811' target='_blank'>26726811</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"signature response agents file"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"gamma-delta T cell"	"gamma-delta T cell"	""	"gamma-delta T cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"1"	"20"	"hipciof_ctf_26726811_20.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	""	"plasma cell"	"cell type frequency"	"up"	"none"	"1"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"1"	"20"	"hipciof_ctf_26726811_20.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cell"	"plasma cell"	""	"plasma cell"	"cell type frequency"	"up"	"none"	"7"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"2"	"21"	"hipciof_ctf_26726811_21.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	""	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"cell type frequency"	"down"	"none"	"1"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-35)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults"	"18"	"35"	"years"	"3"	"22"	"hipciof_ctf_26726811_22.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasmablast"	"plasmablast"	""	"plasmablast"	"cell type frequency"	"up"	"none"	"7"	"Days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix"	"VO_0000410"	""	"7d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"4"	"23"	"hipciof_ctf_26726811_23.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"plasma cells"	"plasma cell"	""	"plasma cell"	"cell type frequency"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"plasma cells, CD16-positive inflammatory monocytes and monocytes, fig 1C; central memory cells, suppl fig 5c"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"5"	"192"	"hipciof_ctf_26726811_192.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"monocytes"	"monocyte"	""	"monocyte"	"cell type frequency"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"plasma cells, CD16-positive inflammatory monocytes and monocytes, fig 1C; central memory cells, suppl fig 5c"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"5"	"192"	"hipciof_ctf_26726811_192.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD16-positive inflammatory monocytes"	"CD14-positive, CD16-positive monocyte"	""	"CD14-positive, CD16-positive monocyte"	"cell type frequency"	"up"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"plasma cells, CD16-positive inflammatory monocytes and monocytes, fig 1C; central memory cells, suppl fig 5c"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"5"	"192"	"hipciof_ctf_26726811_192.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"all T-cells"	"T cell"	""	"T cell"	"cell type frequency"	"down"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Fig 1C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"6"	"193"	"hipciof_ctf_26726811_193.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"gamma-delta cells"	"gamma-delta T cell"	""	"gamma-delta T cell"	"cell type frequency"	"down"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Fig 1C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"6"	"193"	"hipciof_ctf_26726811_193.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD8+ T cells"	"CD8-positive, alpha-beta T cell"	""	"CD8-positive, alpha-beta T cell"	"cell type frequency"	"down"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Fig 1C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"6"	"193"	"hipciof_ctf_26726811_193.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD4+ T cells"	"CD4-positive, alpha-beta T cell"	""	"CD4-positive, alpha-beta T cell"	"cell type frequency"	"down"	"none"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"-7d-1d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Fig 1C"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"6"	"193"	"hipciof_ctf_26726811_193.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD69-positive gamma-delta T-cell"	"gamma-delta T cell"	"& CD69+"	"gamma-delta T cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder"	"-7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl fig 6c"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"7"	"194"	"hipciof_ctf_26726811_194.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD69-positive natural killer (NK) cell"	"natural killer cell"	"& CD69+"	"natural killer cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder"	"-7"	"days"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl fig 6c"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"7"	"194"	"hipciof_ctf_26726811_194.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CXCR3-positive CD8-positive IFN-gamma producing T-cells"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	"& IFNG+"	"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell & IFNG+"	"cell type frequency"	"down"	"<35yr old"	"1"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"1d-0d"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	"Suppl fig 5b"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"8"	"195"	"hipciof_ctf_26726811_195.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD69-positive gamma-delta T-cell"	"gamma-delta T cell"	"& CD69+"	"gamma-delta T cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"0"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"0d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"9"	"196"	"hipciof_ctf_26726811_196.txt"
""	"20160606-hipciof_ctf_26726811"	"2016.06.06"	"hipciof_ctf_6"	"peripheral blood mononuclear cell"	"CD69-positive natural killer (NK) cell"	"natural killer cell"	"& CD69+"	"natural killer cell & CD69+"	"cell type frequency"	"up"	"non-responder vs responder "	"0"	"day"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"0d, non-responders vs responders"	"time of vaccination (first dose)"	"adults (18-64)"	"26726811"	"2016"	""	"- roughly 60/40 female:male ratio, over 70% were Causasian"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=26726811"	"adults, seniors"	"18"	"64"	"years"	"9"	"196"	"hipciof_ctf_26726811_196.txt"
