""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"
"subject"	""	""	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"
"role"	""	""	""	"tissue"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (cell subset)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"publication url"
""	"20181102-hipciof_ctf_28193898"	"2018.11.02"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"CSP-specific CD4+ T-cell response"	"Cell type frequency"	"down"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"14"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"14d-0d"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"
""	"20181102-hipciof_ctf_28193898"	"2018.11.02"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"CSP-specific CD4+ T-cell response"	"Cell type frequency"	"down"	"none"	"42"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"42d-0d"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"
""	"20181102-hipciof_ctf_28193898"	"2018.11.02"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"CSP-specific CD4+ T-cell response"	"Cell type frequency"	"down"	"none"	"77"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"77d-0d"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"
""	"20181102-hipciof_ctf_28193898"	"2018.11.02"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"CSP-specific CD4+ T-cell response"	"Cell type frequency"	"down"	"none"	">77"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"post challenge-before challenge"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"
""	"20181102-hipciof_ctf_28193898"	"2018.11.02"	"hipciof_ctf"	"peripheral blood mononuclear cell"	"CSP-specific polyfunctional CD4+ T cells"	"Cell type frequency"	"positive"	"primary immunization with recombinant adenovirus 35 (Ad35)"	"14"	"Days"	"Plasmodium falciparum"	""	"\"P. falciparum RTS,S/AS01\""	"VO_0003093"	""	"associated with protection"	"time of vaccination (first dose)"	"unknown"	"28193898"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=28193898"
