""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent_orig"	"response_agent"	"proterm_and_extra"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"
"subject"	""	""	""	"cell_subset"	""	"cell_subset"	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""
"evidence"	""	""	""	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"
"role"	""	""	""	"tissue"	"background"	"cell_biomarker"	"background"	"background"	"measured"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (original)"	"response agent (cell subset)"	"cell type PRO and extra terms"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year"	"exposure material"	""	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Nakaya et al. (2011) Systems biology of vaccination for seasonal influenza in humans. Nat. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478' target='_blank'>21743478</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"
""	"20111007-hipciof_ctf_21743478"	"2011.10.07"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"IgG plasmablast"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"correlated with HAI response at 28 days"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"1"	"77"
""	"20111007-hipciof_ctf_21743478"	"2011.10.07"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"IgG plasmablast"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"correlated with HAI response at 28 days"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"1"	"77"
""	"20111007-hipciof_ctf_21743478"	"2011.10.07"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"IgG plasmablast"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza B virus (B/Malaysia/2506/2004)"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"correlated with HAI response at 28 days"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"1"	"77"
""	"20111007-hipciof_ctf_21743478"	"2011.10.07"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"IgG plasmablast"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"correlated with HAI response at 28 days"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"1"	"77"
""	"20111007-hipciof_ctf_21743478"	"2011.10.07"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"IgG plasmablast"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"correlated with HAI response at 28 days"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"1"	"77"
""	"20111007-hipciof_ctf_21743478"	"2011.10.07"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"IgG plasmablast"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza B virus (B/Florida/4/2006)"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"correlated with HAI response at 28 days"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"1"	"77"
""	"20111007-hipciof_ctf_21743478"	"2011.10.07"	"hipciof_ctf_22"	"peripheral blood mononuclear cell"	"influenza-specific IgG secreting plasmablasts"	"IgG plasmablast"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"2007, 2008, 2009"	"Fluarix; Fluvirin"	"VO_0000045"	""	"correlated with HAI response at 28 days"	"time of vaccination (first dose)"	"young adults (18-50yrs)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"1"	"77"
